sample	Anchylorhynchus	Andranthobius	Celetes_impar	Microstrates_bondari	Microstrates_ypsilon	Homo	none
BdM1043pool13	14037	0	1	0	18	1	7327
BdM1040pool27	1579	0	0	0	0	0	1349
BdM1043pool27	7308	0	1	0	0	0	1945
BdM1042pool13	6111	0	0	0	0	1	2811
BdM1051pool21	780	1	1	19	1178	1	4781
BdM1045pool27	588	0	1	0	0	0	528
BdM1068pool14	4	2	0	4	397	1	571
BdM1061pool14	0	0	0	3	37	1	139
BdM1134pool08	11	9	115	4	4	2	14370
BdM1131pool28	5	3	8496	0	4	2	7027
BdM1065pool24	8	6	0	55	4341	2	6083
BdM1132pool08	1	1	3	0	1	0	339
BdM1138pool28	6	3	10146	2	0	1	9292
BdM1133pool08	0	0	10	0	0	0	67
BdM1159pool08	0	2	8809	0	0	1	4293
BdM1162pool08	0	0	24	0	0	0	127
BdM1162pool28	4	2	11885	2	0	2	7863
BdM1143pool28	2	1	8782	3	0	1	7056
BdM1061pool24	1	0	1	13	602	1	1861
BdM1196pool05	0	0	0	0	0	0	15
BdM1212pool11	3	4	0	5050	25	2	3914
BdM1219pool11	1	0	0	1182	7	2	1349
BdM1213pool24	11	1	0	8902	50	2	8247
BdM1199pool22	6	2	1	6	4	2	3480
BdM1216pool11	1	0	0	1436	3	1	1541
BdM1221pool11	0	1	0	1222	9	2	1439
BdM1154pool08	1	0	378	0	0	1	537
BdM1230pool11	2	0	0	1541	13	1	1398
BdM1201pool22	18	6	14	4	0	3	16006
BdM1227pool24	1	3	0	6548	39	1	5161
BdM1226pool21	7	0	0	2177	13	3	2147
BdM1144pool28	0	3	10433	2	0	1	7715
BdM1233pool05	184	3	0	0	0	12	2735
BdM1249pool12	1	35	0	0	0	0	128
BdM1251pool12	5	8170	4	0	2	2	2767
BdM1248pool29	2	33	0	0	0	1	143
BdM1253pool12	14	894	0	0	0	5	1606
BdM1255pool12	0	20	0	0	0	0	106
BdM1197pool22	11	3	3	1	0	3	9718
BdM1268pool11	0	0	0	1	0	0	1
BdM1241pool27	2242	2	0	6	1	0	1095
BdM1266pool12	1	1412	2	0	1	1	925
BdM1233pool18	2059	8	0	0	0	89	10961
BdM1262pool12	38	16630	3	1	1	1	8549
BdM1274pool12	1	56	0	0	0	1	226
BdM1252pool29	10	4479	4	2	3	4	4300
BdM1325pool22	5	0	2	1	1	3	921
