sample	Anchylorhynchus	Andranthobius	Celetes_impar	Microstrates_bondari	Microstrates_ypsilon	Homo	none
BdM1015pool13	11056	4	0	3	0	0	6
BdM1013pool27	6946	1	1	1	0	0	28
BdM1016pool13	13388	4	1	3	0	0	5
BdM1019pool13	13580	4	1	3	1	0	5
BdM1021pool13	1910	0	0	0	0	0	0
BdM1036pool27	6048	0	0	0	0	0	126
BdM1040pool27	1621	0	0	0	0	0	21
BdM1028pool27	9684	0	1	0	0	0	16
BdM1046pool13	13596	1	1	0	1	0	6
BdM1026pool13	6895	0	1	0	0	0	3
BdM1046pool27	4247	0	2	0	0	0	14
BdM1071pool24	1	0	1	23	2028	0	101
BdM1018pool13	11622	4	0	4	0	0	4
BdM1133pool08	0	0	10	0	0	0	0
BdM1144pool08	0	0	3	0	0	0	0
BdM1146pool08	0	0	1066	0	0	0	0
BdM1147pool28	0	0	201	0	0	0	23
BdM1212pool11	6	1	0	5215	17	0	5
BdM1139pool08	0	0	1	0	0	0	0
BdM1154pool28	0	1	6632	1	0	0	790
BdM1032pool13	5239	3	0	4	1	0	1
BdM1160pool08	0	1	14104	1	0	0	17
BdM1143pool28	0	1	9448	1	1	0	1192
BdM1068pool24	1	0	0	7	647	0	39
BdM1047pool13	9318	0	0	0	1	0	3
BdM1227pool11	0	0	0	1557	11	0	2
BdM1230pool11	2	0	0	1605	6	0	1
BdM1214pool11	5	1	0	6741	24	0	1
BdM1154pool08	0	0	380	0	0	0	0
BdM1221pool21	6	3	0	9477	46	0	365
BdM1153pool08	0	0	4291	0	0	0	6
BdM1233pool05	191	3	0	0	0	0	2
BdM1226pool21	5	1	0	2270	9	0	57
BdM1051pool21	2	0	1	13	1261	0	112
BdM1224pool11	4	2	0	5278	31	0	9
BdM1250pool29	2	7311	1	0	0	0	485
BdM1252pool12	1	671	0	1	0	0	2
BdM1254pool12	2	5	0	0	0	0	33
BdM1229pool11	4	0	0	1248	7	0	1
BdM1249pool12	0	37	0	0	0	0	0
BdM1259pool12	4	9374	4	1	2	0	0
BdM1260pool12	10	15706	2	2	0	0	7
BdM1258pool12	2	15844	3	0	1	0	3
BdM1247pool05	12326	0	0	0	0	0	1
BdM1028pool13	6114	0	0	0	0	0	4
BdM1242pool05	2897	11	0	2	1	0	2
BdM1273pool12	2	4173	3	0	1	0	4
BdM1796pool34	16368	1	0	0	0	0	11
BdM1795pool34	17676	0	1	0	0	0	9
BdM1265pool12	0	1	0	0	0	0	8
BdM1263pool12	2	13433	3	3	2	0	6
BdM1261pool12	3	4544	0	0	2	0	4
BdM1256pool29	1	852	1	0	0	0	75
BdM1227pool24	4	2	0	6954	30	0	212
BdM1052pool14	1	0	0	40	10272	0	9
BdM1250pool12	0	245	0	0	0	0	2
BdM1042pool13	6214	0	0	0	0	0	6
BdM1024pool18	4	0	1	0	0	0	3
BdM1262pool12	8	17086	2	1	1	0	5
BdM1237pool05	11335	0	0	0	0	0	1
BdM1256pool12	1	7756	3	0	1	0	2
BdM1040pool13	1466	0	0	0	0	0	2
BdM1229pool24	8	2	1	2681	15	0	99
BdM1246pool27	2292	1	0	0	1	0	31
BdM1043pool13	14400	0	1	0	0	0	13
BdM1235pool05	9368	14	0	1	1	0	4
BdM1045pool27	600	0	1	0	0	0	6
BdM1234pool05	291	6	0	1	0	0	9
BdM1248pool29	1	33	0	0	0	0	7
BdM1255pool29	6	4046	3	1	1	0	407
BdM1147pool08	0	0	197	0	0	0	0
BdM1266pool12	0	1427	2	0	1	0	3
BdM1231pool27	1450	8	0	6	1	0	16
BdM1142pool28	0	1	13930	1	1	0	1848
BdM1128pool08	0	1	12116	1	0	0	8
BdM1054pool14	0	0	0	20	3807	0	6
BdM1135pool28	0	1	11483	0	0	0	987
BdM1220pool11	0	0	0	11	0	0	0
BdM1027pool13	11664	0	0	0	0	0	6
BdM1149pool08	0	0	1876	0	0	0	0
BdM1029pool27	8907	0	0	0	0	0	152
BdM1017pool13	3858	4	0	3	0	0	1
BdM1265pool19	1	64	2	0	0	0	78
BdM1131pool28	0	0	9024	1	1	0	649
BdM1050pool24	0	0	1	0	3	0	2
BdM1020pool13	537	0	0	0	0	0	0
BdM1065pool14	0	1	0	5	999	0	0
BdM1220pool21	0	0	0	136	3	0	3
BdM1056pool14	1	0	0	34	7069	0	6
BdM1241pool05	8759	13	0	3	1	0	3
BdM1013pool13	9745	0	0	0	0	0	3
BdM1038pool13	6738	0	0	0	1	0	2
BdM1054pool24	0	0	0	39	4802	0	207
BdM1148pool08	0	0	114	0	0	0	0
BdM1274pool12	0	58	0	0	0	0	3
BdM1158pool28	0	1	67	0	0	0	50
BdM1023pool13	287	0	0	0	0	0	0
BdM1146pool28	0	1	14784	2	0	0	1812
BdM1039pool13	15918	0	0	0	0	0	6
BdM1014pool13	11128	4	0	2	1	0	3
BdM1139pool28	0	1	10186	1	1	0	997
BdM1022pool13	108	0	0	0	0	0	0
BdM1050pool14	1	0	0	18	6881	0	4
BdM1140pool28	1	1	11410	1	0	0	1440
BdM1074pool14	1	0	0	53	11661	0	8
BdM1141pool28	3	0	280	1	0	0	242
BdM1232pool05	7992	12	0	1	0	0	3
BdM1136pool28	0	1	7617	1	0	0	598
BdM1213pool24	7	0	0	9628	45	0	328
BdM1030pool13	7341	0	0	0	0	0	3
BdM1133pool28	0	0	11100	1	1	0	804
BdM1264pool12	3	12239	3	3	1	0	1
BdM1025pool27	6873	0	0	0	0	0	149
BdM1069pool14	0	0	0	4	174	0	1
BdM1215pool11	4	2	0	6824	25	0	7
BdM1247pool27	10065	1	0	1	0	0	19
BdM1037pool13	7193	0	0	0	0	0	1
BdM1225pool11	5	1	0	7491	35	0	4
BdM1272pool12	0	1262	1	0	1	0	0
BdM1269pool24	1	1	0	6571	35	0	242
BdM1070pool14	3	1	0	34	5353	0	1
BdM1055pool14	0	0	0	44	8816	0	12
BdM1798pool34	20775	1	0	0	0	0	7
BdM1219pool24	2	1	0	6590	35	0	207
BdM1156pool08	1	1	3385	0	0	0	3
BdM1051pool14	2	0	1	31	2588	0	92
BdM1270pool11	5	1	0	5379	25	0	7
BdM1057pool21	0	0	1	4	186	0	10
BdM1151pool08	0	0	1174	0	0	0	1
BdM1053pool14	0	0	0	19	3330	0	4
BdM1053pool24	0	0	0	23	2376	0	149
BdM1232pool27	10179	8	0	8	0	0	36
BdM1239pool05	11578	10	0	0	1	0	3
BdM1017pool27	4109	2	0	1	1	0	29
BdM1012pool13	9084	1	0	0	0	0	2
BdM1066pool14	0	0	0	11	1490	0	2
BdM1068pool14	2	0	0	3	409	0	2
BdM1135pool08	0	0	363	0	0	0	1
BdM1216pool24	6	1	0	7917	41	0	259
BdM1801pool34	11428	0	0	0	0	0	7
BdM1138pool28	0	0	10950	1	0	0	1082
BdM1036pool13	4302	0	0	0	0	0	1
BdM1020pool27	3241	1	0	0	0	0	5
BdM1075pool24	3	1	0	30	3287	0	151
BdM1159pool08	0	0	9132	1	0	0	7
BdM1065pool24	1	1	0	33	4735	0	196
BdM1245pool05	12237	12	0	5	0	0	3
BdM1217pool11	8	2	0	12734	46	0	8
BdM1150pool28	0	1	4726	1	1	0	578
BdM1024pool13	3	0	1	0	0	0	2
BdM1035pool27	7901	0	0	0	1	0	82
BdM1025pool13	42	0	0	0	0	0	0
BdM1071pool14	0	0	1	8	1482	0	1
BdM1150pool08	0	0	1613	0	0	0	0
BdM1072pool14	0	0	1	34	5624	0	3
BdM1244pool05	14405	15	0	2	1	0	4
BdM1155pool08	0	1	9116	1	0	0	12
BdM1222pool11	0	0	0	231	2	0	0
BdM1255pool12	0	23	0	0	0	0	0
BdM1033pool27	126	0	1	0	0	0	14
BdM1057pool14	0	0	1	0	8	0	3
BdM1151pool28	0	1	12924	0	0	0	1601
BdM1130pool08	0	0	15655	1	1	0	9
BdM1162pool08	0	0	24	0	0	0	0
BdM1023pool27	5972	0	0	0	0	0	114
BdM1021pool27	6303	0	0	0	0	0	71
BdM1067pool24	0	0	0	17	863	0	66
BdM1022pool27	1347	0	0	0	0	0	117
BdM1158pool08	0	0	2737	0	0	0	2
BdM1142pool08	0	0	687	1	0	0	1
BdM1238pool05	10269	0	0	0	0	0	2
BdM1242pool27	1672	5	0	6	0	0	3
BdM1240pool05	12833	11	0	4	2	0	2
BdM1269pool11	0	0	0	566	4	0	0
BdM1031pool13	6885	0	0	0	0	0	2
BdM1216pool11	2	0	0	1479	5	0	2
BdM1800pool34	21166	0	1	0	1	0	5
