sample	Anchylorhynchus	Andranthobius	Celetes_impar	Microstrates_bondari	Microstrates_ypsilon	Homo	none
BdM1023pool13	10000	0	1	2	0	5	14370
BdM1025pool13	2402	0	0	0	0	0	3898
BdM1020pool13	17889	1	0	4	1	2	28061
BdM1022pool13	5730	0	0	1	0	4	12043
BdM1017pool13	68683	139	1	216	37	23	80451
BdM1020pool27	68158	8	7	2	0	4	84914
BdM1021pool13	41994	0	0	5	0	19	66621
BdM1024pool13	94	3	187	0	2	0	53049
BdM1013pool13	174852	7	16	34	23	86	199335
BdM1033pool13	46728	0	3	10	5	16	76291
BdM1014pool13	216564	459	18	770	70	395	255105
BdM1015pool13	218404	607	6	942	101	250	250561
BdM1013pool27	195550	3	40	13	7	1686	332175
BdM1029pool13	78168	1	2	27	20	77	114081
BdM1036pool13	77297	1	6	26	95	29	112854
BdM1012pool13	157795	11	24	32	5	90	188201
BdM1019pool13	317680	521	25	639	90	195	387663
BdM1031pool13	114435	30	17	3	0	77	166534
BdM1018pool13	235047	477	12	760	87	75	277997
BdM1057pool14	0	0	113	10	738	4	10349
BdM1025pool27	169986	2	2	15	1	2	1024831
BdM1050pool24	670	2	20	58	2879	3	46905
BdM1027pool13	222973	14	2	50	48	177	300812
BdM1040pool13	32828	8	5	8	3	16	45833
BdM1023pool27	122270	0	2	5	0	1	408715
BdM1016pool13	304575	580	22	826	55	136	363491
BdM1017pool27	116093	92	9	170	281	216	546716
BdM1045pool27	41343	2	59	2	1	9	70849
BdM1047pool13	157761	53	29	34	653	205	210800
BdM1028pool13	102660	13	1	27	2	52	143021
BdM1040pool27	49962	3	3	3	4	5	259005
BdM1058pool14	3	9	6	112	6750	9	24859
BdM1021pool27	138329	0	3	4	0	11	389918
BdM1059pool14	1	1	20	0	31	0	20768
BdM1035pool13	70513	4	0	6	94	34	91374
BdM1026pool13	116303	11	11	33	12	80	181324
BdM1032pool13	94701	343	0	558	40	41	135976
BdM1051pool21	37540	44	23	656	32022	19	741012
BdM1062pool14	0	1	0	16	2310	4	5782
BdM1033pool27	13408	1	19	1	1	0	189514
BdM1043pool27	135024	4	20	16	179	11	220867
BdM1037pool13	120783	7	3	57	23	35	184527
BdM1048pool13	339798	96	46	11	82	301	468970
BdM1060pool14	0	0	0	8	854	0	2471
BdM1042pool13	105193	2	5	22	3	44	169621
BdM1028pool27	176266	6	36	7	8	36	263984
BdM1054pool14	8	1	0	688	59017	72	115832
BdM1030pool13	123132	1	6	34	6	93	187461
BdM1061pool14	0	0	0	58	3113	7	8369
BdM1050pool14	777	29	5	1176	111501	107	226028
BdM1051pool14	53449	160	22	828	57077	19	1161230
BdM1056pool14	24	38	10	1430	118871	202	246088
BdM1046pool27	76743	41	92	2	12	31	106522
BdM1044pool13	110505	25	42	41	2152	113	152656
BdM1057pool21	2	8	1468	303	13112	22	984647
BdM1054pool24	51	31	4	2782	167409	76	481853
BdM1061pool24	12	8	12	600	29715	14	254158
BdM1038pool13	112562	13	7	16	23	44	149490
BdM1034pool13	155448	28	11	9	22	167	210606
BdM1053pool24	84	10	1	2342	125519	106	480402
BdM1063pool14	7	2	1	26	2295	4	9810
BdM1041pool13	214807	668	5	1075	88	199	264506
BdM1055pool14	39	14	0	1819	164949	125	324892
BdM1045pool13	223957	43	39	15	36	152	288723
BdM1059pool21	46	4	4531	29	1004	5	362905
BdM1070pool14	284	96	46	1153	83512	67	168417
BdM1053pool14	16	12	2	792	55116	119	128222
BdM1131pool08	96	50	59450	8	100	47	118333
BdM1063pool24	1475	9	5	742	73368	8	269020
BdM1046pool13	308557	49	21	13	55	324	401747
BdM1039pool13	393880	11	10	128	13	226	605990
BdM1132pool28	485	346	1295	85	70	45	261225
