,BdM1012pool13,BdM1013pool13,BdM1013pool27,BdM1014pool13,BdM1015pool13,BdM1016pool13,BdM1017pool13,BdM1017pool27,BdM1018pool13,BdM1019pool13,BdM1020pool13,BdM1020pool27,BdM1021pool13,BdM1021pool27,BdM1022pool13,BdM1022pool27,BdM1023pool13,BdM1023pool27,BdM1024pool13,BdM1024pool18,BdM1025pool13,BdM1025pool27,BdM1026pool13,BdM1027pool13,BdM1028pool13,BdM1028pool27,BdM1029pool13,BdM1029pool27,BdM1030pool13,BdM1031pool13,BdM1032pool13,BdM1033pool13,BdM1033pool27,BdM1034pool13,BdM1035pool13,BdM1035pool27,BdM1036pool13,BdM1036pool27,BdM1037pool13,BdM1038pool13,BdM1039pool13,BdM1040pool13,BdM1040pool27,BdM1041pool13,BdM1042pool13,BdM1043pool13,BdM1043pool27,BdM1044pool13,BdM1045pool13,BdM1045pool27,BdM1046pool13,BdM1046pool27,BdM1047pool13,BdM1048pool13,BdM1050pool14,BdM1050pool24,BdM1051pool14,BdM1051pool21,BdM1052pool14,BdM1053pool14,BdM1053pool24,BdM1054pool14,BdM1054pool24,BdM1055pool14,BdM1056pool14,BdM1057pool14,BdM1057pool21,BdM1064pool14,BdM1064pool24,BdM1065pool14,BdM1065pool24,BdM1066pool14,BdM1066pool24,BdM1067pool14,BdM1067pool24,BdM1068pool14,BdM1068pool24,BdM1069pool14,BdM1069pool24,BdM1070pool14,BdM1071pool14,BdM1071pool24,BdM1072pool14,BdM1073pool14,BdM1074pool14,BdM1075pool14,BdM1075pool24,BdM1128pool08,BdM1129pool08,BdM1130pool08,BdM1131pool08,BdM1131pool28,BdM1133pool08,BdM1133pool28,BdM1135pool08,BdM1135pool28,BdM1136pool28,BdM1138pool28,BdM1139pool08,BdM1139pool28,BdM1140pool28,BdM1141pool28,BdM1142pool08,BdM1142pool28,BdM1143pool08,BdM1143pool28,BdM1144pool08,BdM1144pool28,BdM1146pool08,BdM1146pool28,BdM1147pool08,BdM1147pool28,BdM1148pool08,BdM1148pool28,BdM1149pool08,BdM1149pool28,BdM1150pool08,BdM1150pool28,BdM1151pool08,BdM1151pool28,BdM1152pool08,BdM1153pool08,BdM1154pool08,BdM1154pool28,BdM1155pool08,BdM1156pool08,BdM1158pool08,BdM1158pool28,BdM1159pool08,BdM1160pool08,BdM1161pool08,BdM1162pool08,BdM1162pool28,BdM1163pool08,BdM1211pool11,BdM1212pool11,BdM1213pool11,BdM1213pool24,BdM1214pool11,BdM1215pool11,BdM1216pool11,BdM1216pool24,BdM1217pool11,BdM1218pool11,BdM1219pool11,BdM1219pool24,BdM1220pool11,BdM1220pool21,BdM1221pool11,BdM1221pool21,BdM1222pool11,BdM1222pool24,BdM1223pool11,BdM1223pool24,BdM1224pool11,BdM1225pool11,BdM1226pool11,BdM1226pool21,BdM1227pool11,BdM1227pool24,BdM1228pool11,BdM1229pool11,BdM1229pool24,BdM1230pool11,BdM1230pool24,BdM1231pool05,BdM1231pool27,BdM1232pool05,BdM1232pool27,BdM1233pool05,BdM1233pool18,BdM1234pool05,BdM1235pool05,BdM1236pool05,BdM1237pool05,BdM1238pool05,BdM1239pool05,BdM1240pool05,BdM1241pool05,BdM1241pool27,BdM1242pool05,BdM1242pool27,BdM1243pool05,BdM1244pool05,BdM1245pool05,BdM1246pool05,BdM1246pool27,BdM1247pool05,BdM1247pool27,BdM1248pool12,BdM1248pool29,BdM1249pool12,BdM1249pool29,BdM1250pool12,BdM1250pool29,BdM1251pool12,BdM1252pool12,BdM1252pool29,BdM1253pool12,BdM1254pool12,BdM1254pool19,BdM1255pool12,BdM1255pool29,BdM1256pool12,BdM1256pool29,BdM1257pool12,BdM1258pool12,BdM1259pool12,BdM1260pool12,BdM1261pool12,BdM1262pool12,BdM1263pool12,BdM1264pool12,BdM1265pool12,BdM1265pool19,BdM1266pool12,BdM1266pool29,BdM1267pool12,BdM1268pool11,BdM1269pool11,BdM1269pool24,BdM1270pool11,BdM1272pool12,BdM1272pool29,BdM1273pool12,BdM1274pool12,BdM1275pool12,BdM1795pool34,BdM1796pool34,BdM1797pool34,BdM1798pool34,BdM1799pool34,BdM1800pool34,BdM1801pool34
BdM1012pool13,9087.0,5752.0,4440.0,6300.0,6288.0,7237.0,2508.0,2716.0,6544.0,7257.0,29.0,170.0,94.0,262.0,4.0,55.0,11.0,250.0,1.0,,3.0,306.0,343.0,509.0,300.0,398.0,199.0,353.0,331.0,3584.0,241.0,113.0,9.0,4441.0,2110.0,3625.0,213.0,275.0,329.0,3545.0,655.0,845.0,932.0,5286.0,304.0,625.0,338.0,3497.0,5429.0,395.0,6171.0,2529.0,4670.0,6382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570.0,686.0,3225.0,4073.0,64.0,867.0,73.0,3627.0,5220.0,2212.0,1973.0,4434.0,4783.0,3494.0,1151.0,1267.0,865.0,4685.0,5199.0,4588.0,1156.0,457.0,2466.0,1938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.0,615.0,5586.0,739.0,456.0,759.0,438.0
BdM1013pool13,5752.0,9748.0,5236.0,6734.0,6677.0,7672.0,2631.0,2863.0,6977.0,7668.0,33.0,170.0,94.0,264.0,4.0,61.0,14.0,264.0,,,2.0,316.0,366.0,549.0,305.0,425.0,212.0,381.0,352.0,3809.0,256.0,115.0,7.0,4746.0,2251.0,3859.0,238.0,296.0,350.0,3732.0,697.0,890.0,973.0,5620.0,319.0,654.0,358.0,3645.0,5790.0,428.0,6571.0,2696.0,4930.0,6777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2711.0,733.0,3460.0,4393.0,71.0,966.0,81.0,3929.0,5628.0,2291.0,2050.0,4753.0,5077.0,3758.0,1232.0,1362.0,907.0,5025.0,5585.0,4944.0,1174.0,462.0,2573.0,2029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.0,649.0,6048.0,785.0,481.0,801.0,476.0
BdM1013pool27,4440.0,5236.0,6977.0,5163.0,5103.0,5747.0,2176.0,2814.0,5316.0,5744.0,28.0,162.0,68.0,232.0,6.0,52.0,12.0,238.0,2.0,3.0,1.0,269.0,267.0,410.0,230.0,381.0,160.0,332.0,259.0,2964.0,182.0,97.0,13.0,3617.0,1808.0,3572.0,172.0,240.0,252.0,2947.0,490.0,685.0,931.0,4260.0,230.0,486.0,312.0,2820.0,4354.0,435.0,4878.0,2727.0,3813.0,4944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2361.0,708.0,2949.0,3948.0,64.0,834.0,78.0,3325.0,4336.0,1786.0,1647.0,3822.0,4048.0,3151.0,1226.0,1222.0,874.0,4038.0,4248.0,3901.0,986.0,441.0,1928.0,1753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.0,501.0,5186.0,563.0,417.0,562.0,394.0
BdM1014pool13,6300.0,6734.0,5163.0,11138.0,7574.0,8636.0,2912.0,3096.0,7863.0,8703.0,35.0,185.0,113.0,305.0,5.0,67.0,16.0,293.0,,,2.0,355.0,402.0,633.0,345.0,469.0,236.0,417.0,398.0,4191.0,361.0,136.0,10.0,5254.0,2460.0,4158.0,261.0,328.0,407.0,4183.0,783.0,957.0,1035.0,6359.0,377.0,752.0,370.0,4063.0,6480.0,439.0,7423.0,2894.0,5449.0,7648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2982.0,794.0,3822.0,4796.0,80.0,1011.0,120.0,4367.0,6302.0,2623.0,2333.0,5206.0,5693.0,4151.0,1319.0,1500.0,973.0,5542.0,6188.0,5453.0,1316.0,510.0,2933.0,2281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.0,751.0,6646.0,915.0,547.0,925.0,525.0
BdM1015pool13,6288.0,6677.0,5103.0,7574.0,11069.0,8592.0,2877.0,3070.0,7823.0,8652.0,33.0,175.0,99.0,273.0,7.0,56.0,14.0,269.0,,1.0,2.0,329.0,388.0,599.0,330.0,441.0,224.0,388.0,377.0,4164.0,369.0,118.0,8.0,5229.0,2457.0,4172.0,244.0,309.0,356.0,4169.0,746.0,958.0,1024.0,6350.0,357.0,732.0,356.0,3998.0,6400.0,439.0,7392.0,2894.0,5426.0,7584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2985.0,807.0,3784.0,4761.0,81.0,1019.0,125.0,4354.0,6296.0,2625.0,2329.0,5192.0,5684.0,4136.0,1299.0,1469.0,970.0,5591.0,6185.0,5466.0,1313.0,508.0,2912.0,2276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.0,709.0,6598.0,887.0,519.0,889.0,502.0
BdM1016pool13,7237.0,7672.0,5747.0,8636.0,8592.0,13401.0,3209.0,3463.0,8970.0,10068.0,39.0,199.0,108.0,332.0,3.0,68.0,15.0,320.0,,,3.0,381.0,445.0,702.0,386.0,535.0,265.0,470.0,434.0,4698.0,381.0,132.0,9.0,5922.0,2741.0,4775.0,273.0,359.0,437.0,4646.0,915.0,1044.0,1161.0,7230.0,408.0,865.0,435.0,4545.0,7400.0,465.0,8621.0,3156.0,6232.0,8947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3439.0,873.0,4381.0,5509.0,94.0,1135.0,129.0,5041.0,7437.0,3091.0,2710.0,6113.0,6674.0,4794.0,1427.0,1704.0,1030.0,6556.0,7338.0,6402.0,1510.0,589.0,3484.0,2659.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.0,875.0,7854.0,1078.0,632.0,1084.0,598.0
BdM1017pool13,2508.0,2631.0,2176.0,2912.0,2877.0,3209.0,3866.0,1519.0,2980.0,3208.0,21.0,96.0,47.0,131.0,2.0,29.0,9.0,133.0,,,2.0,145.0,175.0,246.0,148.0,204.0,106.0,168.0,164.0,1763.0,176.0,72.0,5.0,2120.0,1122.0,1774.0,107.0,135.0,172.0,1731.0,292.0,463.0,512.0,2486.0,150.0,281.0,167.0,1688.0,2456.0,253.0,2724.0,1331.0,2142.0,2804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166.0,403.0,1449.0,1849.0,32.0,448.0,67.0,1627.0,2246.0,938.0,860.0,1945.0,2103.0,1602.0,647.0,643.0,495.0,2063.0,2238.0,1998.0,533.0,222.0,1033.0,867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0,281.0,2499.0,325.0,217.0,334.0,215.0
BdM1017pool27,2716.0,2863.0,2814.0,3096.0,3070.0,3463.0,1519.0,4142.0,3206.0,3452.0,18.0,103.0,43.0,154.0,2.0,30.0,8.0,153.0,,,1.0,172.0,168.0,249.0,133.0,230.0,98.0,207.0,149.0,1843.0,143.0,61.0,5.0,2215.0,1169.0,2474.0,106.0,165.0,153.0,1800.0,285.0,468.0,792.0,2621.0,153.0,291.0,195.0,1798.0,2640.0,302.0,2889.0,1707.0,2285.0,2999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370.0,474.0,1739.0,2373.0,46.0,580.0,74.0,1936.0,2564.0,1072.0,979.0,2233.0,2412.0,1863.0,860.0,770.0,617.0,2345.0,2507.0,2276.0,615.0,310.0,1139.0,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.0,291.0,3065.0,332.0,242.0,333.0,239.0
BdM1018pool13,6544.0,6977.0,5316.0,7863.0,7823.0,8970.0,2980.0,3206.0,11634.0,9032.0,35.0,185.0,97.0,297.0,5.0,60.0,16.0,281.0,,,2.0,342.0,395.0,601.0,353.0,458.0,227.0,431.0,413.0,4381.0,349.0,130.0,7.0,5417.0,2490.0,4305.0,245.0,313.0,395.0,4269.0,779.0,993.0,1071.0,6570.0,354.0,741.0,370.0,4176.0,6703.0,443.0,7652.0,2955.0,5591.0,7930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3095.0,824.0,3953.0,4944.0,86.0,1046.0,125.0,4541.0,6560.0,2659.0,2386.0,5412.0,5909.0,4290.0,1362.0,1549.0,981.0,5830.0,6454.0,5703.0,1345.0,508.0,2984.0,2308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.0,752.0,6912.0,896.0,548.0,925.0,524.0
BdM1019pool13,7257.0,7668.0,5744.0,8703.0,8652.0,10068.0,3208.0,3452.0,9032.0,13594.0,47.0,238.0,129.0,383.0,8.0,72.0,21.0,372.0,,1.0,4.0,443.0,515.0,817.0,441.0,619.0,299.0,540.0,514.0,4737.0,444.0,156.0,11.0,6017.0,2738.0,4823.0,328.0,414.0,507.0,4666.0,1039.0,1066.0,1163.0,7355.0,453.0,957.0,487.0,4592.0,7501.0,469.0,8694.0,3170.0,6272.0,9062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3492.0,873.0,4360.0,5497.0,94.0,1157.0,139.0,5047.0,7408.0,3040.0,2672.0,6090.0,6640.0,4806.0,1422.0,1716.0,1034.0,6539.0,7333.0,6376.0,1521.0,576.0,3432.0,2612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,976.0,7824.0,1202.0,708.0,1223.0,680.0
