,BdM1012pool13,BdM1013pool13,BdM1013pool27,BdM1014pool13,BdM1015pool13,BdM1016pool13,BdM1017pool13,BdM1017pool27,BdM1018pool13,BdM1019pool13,BdM1020pool13,BdM1020pool27,BdM1021pool13,BdM1021pool27,BdM1022pool13,BdM1022pool27,BdM1023pool13,BdM1023pool27,BdM1024pool13,BdM1024pool18,BdM1025pool13,BdM1025pool27,BdM1026pool13,BdM1027pool13,BdM1028pool13,BdM1028pool27,BdM1029pool13,BdM1029pool27,BdM1030pool13,BdM1031pool13,BdM1032pool13,BdM1033pool13,BdM1033pool27,BdM1034pool13,BdM1035pool13,BdM1035pool27,BdM1036pool13,BdM1036pool27,BdM1037pool13,BdM1038pool13,BdM1039pool13,BdM1040pool13,BdM1040pool27,BdM1041pool13,BdM1042pool13,BdM1043pool13,BdM1043pool27,BdM1044pool13,BdM1045pool13,BdM1045pool27,BdM1046pool13,BdM1046pool27,BdM1047pool13,BdM1048pool13,BdM1050pool14,BdM1050pool24,BdM1051pool14,BdM1051pool21,BdM1052pool14,BdM1053pool14,BdM1053pool24,BdM1054pool14,BdM1054pool24,BdM1055pool14,BdM1056pool14,BdM1057pool14,BdM1057pool21,BdM1064pool14,BdM1064pool24,BdM1065pool14,BdM1065pool24,BdM1066pool14,BdM1066pool24,BdM1067pool14,BdM1067pool24,BdM1068pool14,BdM1068pool24,BdM1069pool14,BdM1069pool24,BdM1070pool14,BdM1071pool14,BdM1071pool24,BdM1072pool14,BdM1073pool14,BdM1074pool14,BdM1075pool14,BdM1075pool24,BdM1128pool08,BdM1129pool08,BdM1130pool08,BdM1131pool08,BdM1131pool28,BdM1133pool08,BdM1133pool28,BdM1135pool08,BdM1135pool28,BdM1136pool28,BdM1138pool28,BdM1139pool08,BdM1139pool28,BdM1140pool28,BdM1141pool28,BdM1142pool08,BdM1142pool28,BdM1143pool08,BdM1143pool28,BdM1144pool08,BdM1144pool28,BdM1146pool08,BdM1146pool28,BdM1147pool08,BdM1147pool28,BdM1148pool08,BdM1148pool28,BdM1149pool08,BdM1149pool28,BdM1150pool08,BdM1150pool28,BdM1151pool08,BdM1151pool28,BdM1152pool08,BdM1153pool08,BdM1154pool08,BdM1154pool28,BdM1155pool08,BdM1156pool08,BdM1158pool08,BdM1158pool28,BdM1159pool08,BdM1160pool08,BdM1161pool08,BdM1162pool08,BdM1162pool28,BdM1163pool08,BdM1211pool11,BdM1212pool11,BdM1213pool11,BdM1213pool24,BdM1214pool11,BdM1215pool11,BdM1216pool11,BdM1216pool24,BdM1217pool11,BdM1218pool11,BdM1219pool11,BdM1219pool24,BdM1220pool11,BdM1220pool21,BdM1221pool11,BdM1221pool21,BdM1222pool11,BdM1222pool24,BdM1223pool11,BdM1223pool24,BdM1224pool11,BdM1225pool11,BdM1226pool11,BdM1226pool21,BdM1227pool11,BdM1227pool24,BdM1228pool11,BdM1229pool11,BdM1229pool24,BdM1230pool11,BdM1230pool24,BdM1231pool05,BdM1231pool27,BdM1232pool05,BdM1232pool27,BdM1233pool05,BdM1233pool18,BdM1234pool05,BdM1235pool05,BdM1236pool05,BdM1237pool05,BdM1238pool05,BdM1239pool05,BdM1240pool05,BdM1241pool05,BdM1241pool27,BdM1242pool05,BdM1242pool27,BdM1243pool05,BdM1244pool05,BdM1245pool05,BdM1246pool05,BdM1246pool27,BdM1247pool05,BdM1247pool27,BdM1248pool12,BdM1248pool29,BdM1249pool12,BdM1249pool29,BdM1250pool12,BdM1250pool29,BdM1251pool12,BdM1252pool12,BdM1252pool29,BdM1253pool12,BdM1254pool12,BdM1254pool19,BdM1255pool12,BdM1255pool29,BdM1256pool12,BdM1256pool29,BdM1257pool12,BdM1258pool12,BdM1259pool12,BdM1260pool12,BdM1261pool12,BdM1262pool12,BdM1263pool12,BdM1264pool12,BdM1265pool12,BdM1265pool19,BdM1266pool12,BdM1266pool29,BdM1267pool12,BdM1268pool11,BdM1269pool11,BdM1269pool24,BdM1270pool11,BdM1272pool12,BdM1272pool29,BdM1273pool12,BdM1274pool12,BdM1275pool12,BdM1795pool34,BdM1796pool34,BdM1797pool34,BdM1798pool34,BdM1799pool34,BdM1800pool34,BdM1801pool34
BdM1012pool13,1.0,0.88237202888,0.88640835991,0.886781239166,0.888683203752,0.883723488515,0.888781896967,0.895264563239,0.883725940822,0.883780890161,0.505660377358,0.474308300395,0.467120181406,0.464549804263,0.53125,0.487571701721,0.588785046729,0.473010064044,0.0909090909091,,0.391304347826,0.469076005961,0.464774624374,0.48030583874,0.476702508961,0.470896391153,0.448491747297,0.458948043618,0.465017667845,0.802373380904,0.475387420237,0.476663356504,0.484210526316,0.794938310661,0.802649792367,0.794793909566,0.464826839827,0.466155810983,0.463028169014,0.804413673734,0.429741980474,0.818786502271,0.817426781291,0.795458850911,0.459222560976,0.439918154762,0.460191608854,0.801735970933,0.789929044341,0.825679172057,0.779518442381,0.797306539008,0.793685621991,0.78376209474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.747932618683,0.764684488089,0.745645717955,0.747466270738,0.77094972067,0.773327464789,0.823529411765,0.745613715119,0.737591612112,0.592654066499,0.596271064898,0.741335663914,0.74119891161,0.751874882231,0.769256605464,0.763355718152,0.77558533353,0.741680009149,0.739383846794,0.741531471179,0.608980259793,0.628346456693,0.588041824162,0.598389163463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44674387697,0.448574057038,0.785282853985,0.433962264151,0.451427140711,0.421594982079,0.452978056426
BdM1013pool13,0.88237202888,1.0,0.967434825162,0.884295201571,0.888808037181,0.88510708949,0.889665934574,0.888877360448,0.885630299604,0.879330073858,0.506493506494,0.47001303781,0.452718676123,0.46198568873,0.577777777778,0.45652173913,0.478260869565,0.458503401361,,,0.409090909091,0.451973194341,0.457711442786,0.46054964539,0.472828242761,0.454871653326,0.452279957582,0.444477972239,0.448275862069,0.802169007934,0.461294703486,0.45959104187,0.542857142857,0.79643175736,0.802461383901,0.790241085607,0.471378795421,0.463647199046,0.461617546265,0.799917305668,0.425024501797,0.80950924935,0.817471392688,0.796177853125,0.44869503039,0.441449482328,0.448928904067,0.799984655516,0.788348888006,0.803220035778,0.78028957186,0.790881669386,0.794284893739,0.781790459595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.751315465945,0.755043227666,0.7440950862,0.743109818887,0.796264855688,0.768711087561,0.807046979866,0.74331277473,0.733770827743,0.586643520882,0.589990265132,0.73894933696,0.738468535959,0.745822121513,0.752236606673,0.756543765832,0.763323541754,0.738893681259,0.738579240333,0.740569268279,0.600576426158,0.614569878584,0.577984208082,0.593949229164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438045375218,0.445000894294,0.779807738295,0.425719318849,0.441632847935,0.417681616277,0.443102198599
BdM1013pool27,0.88640835991,0.967434825162,1.0,0.885348255043,0.892047807822,0.889031396126,0.890101592532,0.888924235194,0.887228805312,0.884063755621,0.469090909091,0.477414871438,0.483306836248,0.479540918164,0.48275862069,0.442857142857,0.434426229508,0.464641434263,1.0,1.0,0.5,0.477864583333,0.478205670758,0.497103128621,0.478215223097,0.473002159827,0.455119214586,0.449669104842,0.466050808314,0.802519670715,0.491895261845,0.448642266824,0.529411764706,0.797768214191,0.800314937013,0.792438929818,0.470230040595,0.480825958702,0.474499089253,0.800534981322,0.445510623715,0.822522351151,0.8237002614,0.798465306122,0.471470019342,0.459593572779,0.472922848665,0.801821774543,0.793201768437,0.794495961711,0.785833237625,0.795546160653,0.798923714639,0.789821057722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.745362936714,0.751693002257,0.739419269688,0.742893409493,0.776937618147,0.75897591274,0.768,0.739047845186,0.735692724697,0.599935421376,0.60301754386,0.741376931567,0.739593892032,0.744581014866,0.75784800761,0.749036759346,0.762808349146,0.741278404447,0.741999750965,0.743295408371,0.610557184751,0.634079737848,0.592859304085,0.606076794658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459453197405,0.455595831445,0.781388721434,0.446341463415,0.457342657343,0.443587662338,0.466376811594
BdM1014pool13,0.886781239166,0.884295201571,0.885348255043,1.0,0.888585185341,0.884995119754,0.883164821056,0.887109261589,0.884791215968,0.881720630426,0.506535947712,0.47990105133,0.485279187817,0.473643108161,0.375,0.465753424658,0.518292682927,0.472327841149,,,0.409090909091,0.474137931034,0.474437627812,0.479239425689,0.488194444444,0.467674661105,0.453587556448,0.467071057192,0.466829715683,0.795731400383,0.484479865772,0.469565217391,0.521739130435,0.792709348933,0.796487838145,0.792181139185,0.459484346225,0.46142488003,0.457006843201,0.796755628849,0.435589353612,0.817702394527,0.820380650278,0.792885962065,0.449403852033,0.447632944228,0.46631316282,0.795280523458,0.787888367052,0.813785114393,0.775318284155,0.793857031358,0.794235994983,0.779232214135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.745230934961,0.749354422208,0.738838825067,0.741811497326,0.761240310078,0.763217809259,0.756906077348,0.739495798319,0.731190150479,0.579542334096,0.583730097783,0.73870096463,0.735370969675,0.746569371347,0.755340189873,0.758967250043,0.765589682223,0.736133958604,0.736156713107,0.736355042539,0.592162813532,0.616482504604,0.572770733735,0.582950031361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446151384221,0.448015426643,0.778764915948,0.431785480706,0.458983504235,0.422886221294,0.454009968283
BdM1015pool13,0.888683203752,0.888808037181,0.892047807822,0.888585185341,1.0,0.88777178509,0.89022234128,0.893385934152,0.887141535615,0.883810377341,0.481012658228,0.47577092511,0.463004484305,0.461279461279,0.306666666667,0.449416342412,0.554054054054,0.474465298996,,0.25,0.363636363636,0.45,0.457994579946,0.471814211989,0.470361276745,0.458628841608,0.425737538149,0.452619187758,0.451725229503,0.794000807972,0.453677932406,0.462416745956,0.477777777778,0.791027670141,0.796253602305,0.789422496479,0.452022577611,0.460966542751,0.456593770709,0.796409018261,0.423624942546,0.812340062553,0.814071020082,0.791245399059,0.44323632875,0.439663539308,0.463976945245,0.792410241941,0.788531608672,0.811066513761,0.774784310593,0.788109756098,0.790993985438,0.777481417561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742033041437,0.753793211325,0.735051079112,0.737927551278,0.774877650897,0.767435962465,0.751295336788,0.737926114334,0.731114013148,0.581951285643,0.584195577196,0.733604856283,0.734243062108,0.744964052076,0.755710531635,0.756637558437,0.76899287347,0.731077405601,0.737281531782,0.737418983509,0.597720445308,0.615313653137,0.575703642384,0.584810126582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434189660641,0.432828529555,0.778385622638,0.418634830003,0.443112418005,0.41260373444,0.445657116871
BdM1016pool13,0.883723488515,0.88510708949,0.889031396126,0.884995119754,0.88777178509,1.0,0.887853658537,0.889654869588,0.881029756177,0.8805051069,0.464480874317,0.454189944134,0.454179254783,0.450308430432,0.722222222222,0.436507936508,0.55,0.455245781365,,,0.391304347826,0.460278956944,0.442542153048,0.458596551135,0.463474524248,0.449728555917,0.437231298366,0.449219687875,0.452789115646,0.792099854932,0.456714120816,0.474381625442,0.459183673469,0.792750543465,0.79831714538,0.788769499452,0.452653927813,0.452944942382,0.438110749186,0.798018830313,0.415227530569,0.811798864986,0.817111271329,0.788652774912,0.441339236303,0.427593611596,0.446180993194,0.793522522807,0.785599871856,0.809340659341,0.7731922707,0.793222949557,0.78856326951,0.776368807774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.743824590619,0.752823822796,0.735764418676,0.737698061214,0.771739130435,0.75912825194,0.770534550196,0.736835013205,0.726854045449,0.576952882827,0.581551270815,0.732690366715,0.7326540413,0.741781231321,0.754683732146,0.749727711218,0.770365618987,0.732119498713,0.734559664506,0.734315589354,0.596437778299,0.611178369653,0.568168294305,0.583150642029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.436589314625,0.431966016195,0.775610398405,0.416533333333,0.432170896476,0.412810625536,0.434377967711
BdM1017pool13,0.888781896967,0.889665934574,0.890101592532,0.883164821056,0.89022234128,0.887853658537,1.0,0.956933938477,0.887165242912,0.882249474764,0.546296296296,0.474495848161,0.532467532468,0.473451327434,0.75,0.525896414343,0.54347826087,0.455197132616,,,0.409090909091,0.457142857143,0.45703125,0.475990675991,0.476267095736,0.449074074074,0.463439752832,0.455479452055,0.458333333333,0.792175273865,0.469202898551,0.443396226415,0.473684210526,0.800492119439,0.810411713177,0.793423205798,0.447793326157,0.473731884058,0.464550979068,0.804462048339,0.439440993789,0.821083455344,0.841015018125,0.790926099158,0.468892261002,0.461055276382,0.465481886535,0.797386158146,0.797007920211,0.808860129418,0.779554237916,0.797873417722,0.800288297733,0.783687393394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.761367683723,0.744224422442,0.751294395495,0.753972248185,0.773148148148,0.771563143951,0.796923076923,0.744205161927,0.741385608182,0.601941747573,0.605561555076,0.740383958461,0.741157347204,0.750825501651,0.751411248171,0.77793725651,0.772931535818,0.746509483667,0.749210590236,0.744551238663,0.604495353361,0.647181628392,0.598938502365,0.608935540304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.440267335004,0.441404654961,0.785261715851,0.429624429624,0.450410958904,0.422320217096,0.451749734889
BdM1017pool27,0.895264563239,0.888877360448,0.888924235194,0.887109261589,0.893385934152,0.889654869588,0.956933938477,1.0,0.895044413277,0.888136487556,0.469512195122,0.485380116959,0.528925619835,0.497246262785,0.5,0.511475409836,0.566265060241,0.483189992181,,,0.5,0.495438596491,0.463679565513,0.508958837772,0.495782567948,0.475941422594,0.474676089517,0.47564469914,0.484477124183,0.802770927027,0.507575757576,0.478095238095,0.595238095238,0.80386977887,0.803632503833,0.795168539326,0.485393258427,0.497409326425,0.494287890327,0.811990730358,0.460072963113,0.823393167342,0.807241560259,0.797222517825,0.466920152091,0.470731707317,0.470730235365,0.808247885637,0.796779945458,0.811111111111,0.786368650775,0.791086567629,0.799724913288,0.788230360637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765573770492,0.753837566285,0.752367353074,0.748783625077,0.806010928962,0.762441937624,0.784090909091,0.755526834909,0.745284007546,0.611446432421,0.615256653992,0.752706519181,0.746965452848,0.758754589099,0.762509563887,0.768795056643,0.769522205851,0.749097472924,0.750478214665,0.751848428835,0.628403933434,0.644547923943,0.607807071326,0.617709378834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45629510826,0.462327416174,0.784174311927,0.45,0.464748201439,0.452040816327,0.456148946595
BdM1018pool13,0.883725940822,0.885630299604,0.887228805312,0.884791215968,0.887141535615,0.881029756177,0.887165242912,0.895044413277,1.0,0.880801022889,0.492668621701,0.454277286136,0.454746136865,0.438320209974,0.416666666667,0.468309859155,0.488636363636,0.44618556701,,,0.409090909091,0.452133019819,0.453810623557,0.47619047619,0.4677843524,0.448484848485,0.446927374302,0.432759064027,0.437817976258,0.793924148607,0.469949916528,0.446898895497,0.433333333333,0.793419034016,0.795528063107,0.791463652309,0.455827067669,0.462278106509,0.442205097807,0.794683988997,0.423343662387,0.814076655052,0.817762399077,0.789042764345,0.440513462743,0.436561201662,0.449397590361,0.792952141229,0.785983733455,0.811734548562,0.774394490443,0.78773006135,0.791386375938,0.775730801767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.745781141267,0.746452223273,0.735382659888,0.740413299344,0.758569299553,0.760858835143,0.761290322581,0.738340887405,0.731127550259,0.581108829569,0.581911093471,0.733649407361,0.736138290933,0.745598342906,0.75570887183,0.754896091679,0.764149687042,0.734816384181,0.736019048845,0.736058851905,0.597622192867,0.608765859285,0.572578361982,0.585581874356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427737674704,0.432444852941,0.776695549512,0.423300970874,0.431385006353,0.408494304111,0.441683017223
BdM1019pool13,0.883780890161,0.879330073858,0.884063755621,0.881720630426,0.883810377341,0.8805051069,0.882249474764,0.888136487556,0.880801022889,1.0,0.5,0.484816196058,0.493838862559,0.47025589897,0.602941176471,0.48275862069,0.464864864865,0.479930191972,,1.0,0.405405405405,0.47586815774,0.471994025392,0.498162378884,0.481123792801,0.471525711857,0.472319859402,0.47593331768,0.462818512741,0.793942850282,0.481443649983,0.448031496063,0.341176470588,0.78453852095,0.795087097111,0.785599203211,0.456761006289,0.474984365228,0.460149600206,0.791478788994,0.428466527965,0.805703867691,0.81137653737,0.785870666937,0.466438160526,0.444549634839,0.46761080514,0.790099877892,0.782319917767,0.814332247557,0.767911095676,0.785753963167,0.786566782216,0.770794855435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.736776843492,0.747242921013,0.734109166438,0.733960922753,0.758573388203,0.751703339663,0.752589182969,0.732144786602,0.722490769992,0.574499980275,0.577748167888,0.729617677379,0.729717267831,0.739857138824,0.753939393939,0.746993489085,0.764496439471,0.727330495012,0.727994831256,0.72988580327,0.588390706349,0.604617604618,0.566225636648,0.58233409611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.440114315407,0.444927536232,0.773998417066,0.429855164394,0.455360409806,0.418565927776,0.4600456621
