sample,genus,species,taxon,population,pool,WGA,WGA_input_ng,samplename_ipyrad,reads_raw,reads_passed_filter,clusters_total,clusters_hidepth,hetero_est,error_est,assembled,excluded_dueto_less_than_100_loci,excluded_dueto_few_shared_loci
BdM1231,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,FALSE,,BdM1231pool05,208648,208547,38203,8334,0.016595,0.006118,TRUE,FALSE,FALSE
BdM1231,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,27,TRUE,305.6130702,BdM1231pool27,403732,403625,32323,3222,0.022452,0.004331,TRUE,FALSE,FALSE
BdM1232,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,FALSE,,BdM1232pool05,252056,251938,38428,10494,0.014961,0.005251,TRUE,FALSE,FALSE
BdM1232,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,27,TRUE,322.7236744,BdM1232pool27,557373,554014,57720,14115,0.013707,0.003441,TRUE,FALSE,FALSE
BdM1233,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,TRUE,8.611418017,BdM1233pool05,175497,175424,27018,3560,0.029555,0.006324,TRUE,FALSE,FALSE
BdM1233,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,18,TRUE,8.611418017,BdM1233pool18,2005268,2005065,75552,15068,0.02351,0.00333,TRUE,FALSE,FALSE
BdM1234,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,TRUE,23.39446726,BdM1234pool05,606426,606152,42989,6831,0.027849,0.005133,TRUE,FALSE,FALSE
BdM1235,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,FALSE,,BdM1235pool05,309629,309504,48397,12376,0.014069,0.004979,TRUE,FALSE,FALSE
BdM1236,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,FALSE,,BdM1236pool05,702177,701906,69286,19966,0.013182,0.003398,TRUE,FALSE,FALSE
BdM1237,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,FALSE,,BdM1237pool05,524129,523893,57739,17791,0.012163,0.003722,TRUE,FALSE,FALSE
BdM1238,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,FALSE,,BdM1238pool05,370452,370299,48779,14798,0.012417,0.00407,TRUE,FALSE,FALSE
BdM1012,Anchylorhynchus,trapezicollis,Anchylorhynchus,P2,13,FALSE,,BdM1012pool13,346158,345964,37253,13546,0.013133,0.004256,TRUE,FALSE,FALSE
BdM1013,Anchylorhynchus,trapezicollis,Anchylorhynchus,P2,13,FALSE,,BdM1013pool13,374353,374179,37902,14298,0.013079,0.004031,TRUE,FALSE,FALSE
BdM1013,Anchylorhynchus,trapezicollis,Anchylorhynchus,P2,27,TRUE,224.105032,BdM1013pool27,529474,529414,50270,10866,0.012249,0.00308,TRUE,FALSE,FALSE
BdM1014,Anchylorhynchus,trapezicollis,Anchylorhynchus,P2,13,FALSE,,BdM1014pool13,473381,473095,44757,16660,0.013139,0.003743,TRUE,FALSE,FALSE
BdM1015,Anchylorhynchus,trapezicollis,Anchylorhynchus,P2,13,FALSE,,BdM1015pool13,470871,470575,43048,16718,0.013125,0.003739,TRUE,FALSE,FALSE
BdM1016,Anchylorhynchus,trapezicollis,Anchylorhynchus,P2,13,FALSE,,BdM1016pool13,669685,669216,52670,21395,0.012367,0.003371,TRUE,FALSE,FALSE
BdM1017,Anchylorhynchus,trapezicollis,Anchylorhynchus,P2,13,FALSE,,BdM1017pool13,149550,149463,23332,5876,0.015242,0.0059,TRUE,FALSE,FALSE
BdM1017,Anchylorhynchus,trapezicollis,Anchylorhynchus,P2,27,TRUE,261.9435404,BdM1017pool27,663577,663516,47560,7502,0.022487,0.005035,TRUE,FALSE,FALSE
BdM1018,Anchylorhynchus,trapezicollis,Anchylorhynchus,P2,13,FALSE,,BdM1018pool13,514455,514146,44515,17656,0.012545,0.003605,TRUE,FALSE,FALSE
BdM1019,Anchylorhynchus,trapezicollis,Anchylorhynchus,P2,13,FALSE,,BdM1019pool13,706813,706357,57203,21752,0.01336,0.003586,TRUE,FALSE,FALSE
BdM1239,Anchylorhynchus,trapezicollis,Anchylorhynchus,P3,5,FALSE,,BdM1239pool05,405756,405588,54524,15411,0.0137,0.00472,TRUE,FALSE,FALSE
BdM1240,Anchylorhynchus,trapezicollis,Anchylorhynchus,P3,5,FALSE,,BdM1240pool05,475118,474863,54189,17053,0.013314,0.003795,TRUE,FALSE,FALSE
BdM1241,Anchylorhynchus,trapezicollis,Anchylorhynchus,P3,5,FALSE,,BdM1241pool05,276416,276308,40852,11449,0.014141,0.004752,TRUE,FALSE,FALSE
BdM1241,Anchylorhynchus,trapezicollis,Anchylorhynchus,P3,27,TRUE,300.4372454,BdM1241pool27,380250,380196,33311,3708,0.019574,0.006109,TRUE,FALSE,FALSE
BdM1242,Anchylorhynchus,trapezicollis,Anchylorhynchus,P3,5,FALSE,,BdM1242pool05,135252,135194,30458,4309,0.020029,0.007758,TRUE,FALSE,FALSE
BdM1242,Anchylorhynchus,trapezicollis,Anchylorhynchus,P3,27,TRUE,201.6620195,BdM1242pool27,111408,111391,25267,2759,0.020862,0.007623,TRUE,FALSE,FALSE
BdM1243,Anchylorhynchus,trapezicollis,Anchylorhynchus,P3,5,FALSE,,BdM1243pool05,458372,458185,55100,16511,0.013206,0.00411,TRUE,FALSE,FALSE
BdM1020,Anchylorhynchus,trapezicollis,Anchylorhynchus,P4,13,FALSE,,BdM1020pool13,45958,45919,9960,1227,0.024642,0.012022,TRUE,FALSE,FALSE
BdM1020,Anchylorhynchus,trapezicollis,Anchylorhynchus,P4,27,TRUE,166.996457,BdM1020pool27,153093,153068,34687,4741,0.01971,0.00998,TRUE,FALSE,FALSE
BdM1021,Anchylorhynchus,trapezicollis,Anchylorhynchus,P4,13,FALSE,,BdM1021pool13,108639,108528,19039,3506,0.021926,0.009201,TRUE,FALSE,FALSE
BdM1021,Anchylorhynchus,trapezicollis,Anchylorhynchus,P4,27,TRUE,206.0194707,BdM1021pool27,528265,528223,51634,9425,0.02093,0.006505,TRUE,FALSE,FALSE
BdM1022,Anchylorhynchus,trapezicollis,Anchylorhynchus,P4,13,FALSE,,BdM1022pool13,17778,17734,4807,399,0.025,0.013622,TRUE,FALSE,TRUE
BdM1022,Anchylorhynchus,trapezicollis,Anchylorhynchus,P4,27,TRUE,86.20018542,BdM1022pool27,1493971,1493870,39506,4798,0.040593,0.007413,TRUE,FALSE,TRUE
