sample,genus,species,taxon,population,pool,WGA,WGA_input_ng,samplename_ipyrad,reads_raw,reads_passed_filter,clusters_total,clusters_hidepth,hetero_est,error_est,assembled,excluded_dueto_less_than_100_loci,excluded_dueto_few_shared_loci,N_loci_s7,N_nucleotides_s7,N_nucleotides_heteroz,N_nucleotides_ambiguous,GC_content
BdM1231,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,False,,BdM1231pool05,208648,208547,38203,8334,0.016595,0.006118,True,False,False,6170.0,559354.0,2290.0,943.0,0.339204517741
BdM1231,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,27,True,305.6130702,BdM1231pool27,403732,403625,32323,3222,0.022452,0.004331,True,False,False,1481.0,134418.0,398.0,220.0,0.336199956361
BdM1232,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,False,,BdM1232pool05,252056,251938,38428,10494,0.014961,0.005251,True,False,False,8008.0,726020.0,3127.0,933.0,0.337623759621
BdM1232,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,27,True,322.7236744,BdM1232pool27,557373,554014,57720,14115,0.013707,0.003441,True,False,False,10231.0,927205.0,3955.0,758.0,0.335326110603
BdM1233,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,True,8.611418017,BdM1233pool05,175497,175424,27018,3560,0.029555,0.006324,True,False,False,196.0,17771.0,9.0,10.0,0.353068304612
BdM1233,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,18,True,8.611418017,BdM1233pool18,2005268,2005065,75552,15068,0.02351,0.00333,True,False,False,2137.0,193646.0,204.0,241.0,0.343419728562
BdM1234,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,True,23.39446726,BdM1234pool05,606426,606152,42989,6831,0.027849,0.005133,True,False,False,307.0,27760.0,21.0,20.0,0.356049337929
BdM1235,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,False,,BdM1235pool05,309629,309504,48397,12376,0.014069,0.004979,True,False,False,9388.0,850775.0,3724.0,1018.0,0.336487188797
BdM1236,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,False,,BdM1236pool05,702177,701906,69286,19966,0.013182,0.003398,True,False,False,14657.0,1327326.0,6193.0,780.0,0.336585271412
BdM1237,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,False,,BdM1237pool05,524129,523893,57739,17791,0.012163,0.003722,True,False,False,11336.0,1024471.0,4275.0,618.0,0.33632701189
BdM1238,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,False,,BdM1238pool05,370452,370299,48779,14798,0.012417,0.00407,True,False,False,10271.0,928310.0,3719.0,677.0,0.336284174339
