sample,genus,species,taxon,population,pool,WGA,WGA_input_ng,samplename_ipyrad,reads_raw,reads_passed_filter,clusters_total,clusters_hidepth,hetero_est,error_est,assembled,excluded_dueto_less_than_100_loci,excluded_dueto_few_shared_loci,N_loci_s7,N_snps_s7,N_snps_heteroz,N_snps_ambiguous,snps_GC_content
BdM1231,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,False,,BdM1231pool05,208648,208547,38203,8334,0.016595,0.006118,True,False,False,5748.0,38493.0,2290.0,482.0,0.520245919016
BdM1231,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,27,True,305.6130702,BdM1231pool27,403732,403625,32323,3222,0.022452,0.004331,True,False,False,1343.0,9650.0,398.0,145.0,0.514791644576
BdM1232,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,False,,BdM1232pool05,252056,251938,38428,10494,0.014961,0.005251,True,False,False,7457.0,50196.0,3127.0,530.0,0.517749497656
BdM1232,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,27,True,322.7236744,BdM1232pool27,557373,554014,57720,14115,0.013707,0.003441,True,False,False,9479.0,63220.0,3955.0,399.0,0.513050165831
BdM1233,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,True,8.611418017,BdM1233pool05,175497,175424,27018,3560,0.029555,0.006324,True,False,False,169.0,1134.0,9.0,3.0,0.51875
BdM1233,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,18,True,8.611418017,BdM1233pool18,2005268,2005065,75552,15068,0.02351,0.00333,True,False,False,1950.0,13384.0,204.0,147.0,0.517980952381
BdM1234,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,True,23.39446726,BdM1234pool05,606426,606152,42989,6831,0.027849,0.005133,True,False,False,239.0,1612.0,21.0,6.0,0.527586206897
BdM1235,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,False,,BdM1235pool05,309629,309504,48397,12376,0.014069,0.004979,True,False,False,8725.0,57559.0,3724.0,461.0,0.516711371497
BdM1236,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,False,,BdM1236pool05,702177,701906,69286,19966,0.013182,0.003398,True,False,False,13503.0,86159.0,6193.0,308.0,0.513337239965
BdM1237,Anchylorhynchus,trapezicollis,Anchylorhynchus,P1,5,False,,BdM1237pool05,524129,523893,57739,17791,0.012163,0.003722,True,False,False,9023.0,54049.0,4275.0,198.0,0.504153414406
