,BdM1012pool13,BdM1013pool13,BdM1013pool27,BdM1014pool13,BdM1015pool13,BdM1016pool13,BdM1017pool13,BdM1017pool27,BdM1018pool13,BdM1019pool13,BdM1020pool13,BdM1020pool27,BdM1021pool13,BdM1021pool27,BdM1022pool13,BdM1022pool27,BdM1023pool13,BdM1023pool27,BdM1024pool13,BdM1024pool18,BdM1025pool13,BdM1025pool27,BdM1026pool13,BdM1027pool13,BdM1028pool13,BdM1028pool27,BdM1029pool13,BdM1029pool27,BdM1030pool13,BdM1031pool13,BdM1032pool13,BdM1033pool13,BdM1033pool27,BdM1034pool13,BdM1035pool13,BdM1035pool27,BdM1036pool13,BdM1036pool27,BdM1037pool13,BdM1038pool13,BdM1039pool13,BdM1040pool13,BdM1040pool27,BdM1041pool13,BdM1042pool13,BdM1043pool13,BdM1043pool27,BdM1044pool13,BdM1045pool13,BdM1045pool27,BdM1046pool13,BdM1046pool27,BdM1047pool13,BdM1048pool13,BdM1050pool14,BdM1050pool24,BdM1051pool14,BdM1051pool21,BdM1052pool14,BdM1053pool14,BdM1053pool24,BdM1054pool14,BdM1054pool24,BdM1055pool14,BdM1056pool14,BdM1057pool14,BdM1057pool21,BdM1064pool14,BdM1064pool24,BdM1065pool14,BdM1065pool24,BdM1066pool14,BdM1066pool24,BdM1067pool14,BdM1067pool24,BdM1068pool14,BdM1068pool24,BdM1069pool14,BdM1069pool24,BdM1070pool14,BdM1071pool14,BdM1071pool24,BdM1072pool14,BdM1073pool14,BdM1074pool14,BdM1075pool14,BdM1075pool24,BdM1128pool08,BdM1129pool08,BdM1130pool08,BdM1131pool08,BdM1131pool28,BdM1133pool08,BdM1133pool28,BdM1135pool08,BdM1135pool28,BdM1136pool28,BdM1138pool28,BdM1139pool08,BdM1139pool28,BdM1140pool28,BdM1141pool28,BdM1142pool08,BdM1142pool28,BdM1143pool08,BdM1143pool28,BdM1144pool08,BdM1144pool28,BdM1146pool08,BdM1146pool28,BdM1147pool08,BdM1147pool28,BdM1148pool08,BdM1148pool28,BdM1149pool08,BdM1149pool28,BdM1150pool08,BdM1150pool28,BdM1151pool08,BdM1151pool28,BdM1152pool08,BdM1153pool08,BdM1154pool08,BdM1154pool28,BdM1155pool08,BdM1156pool08,BdM1158pool08,BdM1158pool28,BdM1159pool08,BdM1160pool08,BdM1161pool08,BdM1162pool08,BdM1162pool28,BdM1163pool08,BdM1211pool11,BdM1212pool11,BdM1213pool11,BdM1213pool24,BdM1214pool11,BdM1215pool11,BdM1216pool11,BdM1216pool24,BdM1217pool11,BdM1218pool11,BdM1219pool11,BdM1219pool24,BdM1220pool11,BdM1220pool21,BdM1221pool11,BdM1221pool21,BdM1222pool11,BdM1222pool24,BdM1223pool11,BdM1223pool24,BdM1224pool11,BdM1225pool11,BdM1226pool11,BdM1226pool21,BdM1227pool11,BdM1227pool24,BdM1228pool11,BdM1229pool11,BdM1229pool24,BdM1230pool11,BdM1230pool24,BdM1231pool05,BdM1231pool27,BdM1232pool05,BdM1232pool27,BdM1233pool05,BdM1233pool18,BdM1234pool05,BdM1235pool05,BdM1236pool05,BdM1237pool05,BdM1238pool05,BdM1239pool05,BdM1240pool05,BdM1241pool05,BdM1241pool27,BdM1242pool05,BdM1242pool27,BdM1243pool05,BdM1244pool05,BdM1245pool05,BdM1246pool05,BdM1246pool27,BdM1247pool05,BdM1247pool27,BdM1248pool12,BdM1248pool29,BdM1249pool12,BdM1249pool29,BdM1250pool12,BdM1250pool29,BdM1251pool12,BdM1252pool12,BdM1252pool29,BdM1253pool12,BdM1254pool12,BdM1254pool19,BdM1255pool12,BdM1255pool29,BdM1256pool12,BdM1256pool29,BdM1257pool12,BdM1258pool12,BdM1259pool12,BdM1260pool12,BdM1261pool12,BdM1262pool12,BdM1263pool12,BdM1264pool12,BdM1265pool12,BdM1265pool19,BdM1266pool12,BdM1266pool29,BdM1267pool12,BdM1268pool11,BdM1269pool11,BdM1269pool24,BdM1270pool11,BdM1272pool12,BdM1272pool29,BdM1273pool12,BdM1274pool12,BdM1275pool12,BdM1795pool34,BdM1796pool34,BdM1797pool34,BdM1798pool34,BdM1799pool34,BdM1800pool34,BdM1801pool34
BdM1012pool13,55863.0,36981.0,29474.0,40382.0,40515.0,45452.0,16616.0,18351.0,41772.0,45767.0,265.0,1518.0,882.0,2299.0,32.0,523.0,107.0,2186.0,11.0,,23.0,2684.0,2995.0,4316.0,2511.0,3436.0,1757.0,3118.0,2830.0,25786.0,2194.0,1007.0,95.0,31610.0,15171.0,26008.0,1848.0,2349.0,2840.0,25421.0,5736.0,6164.0,6863.0,36951.0,2624.0,5376.0,3027.0,24770.0,37911.0,3092.0,42321.0,19009.0,32814.0,43614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19590.0,5499.0,24918.0,30982.0,537.0,6816.0,527.0,27415.0,38341.0,18677.0,16734.0,33182.0,35649.0,26535.0,8932.0,9977.0,6791.0,34976.0,38432.0,34333.0,9777.0,3810.0,20371.0,16389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5267.0,5435.0,38907.0,6466.0,3994.0,6696.0,3828.0
BdM1013pool13,36981.0,59185.0,33717.0,42764.0,42602.0,48184.0,17302.0,19276.0,44225.0,48065.0,308.0,1534.0,846.0,2236.0,45.0,552.0,161.0,2205.0,,,22.0,2686.0,3216.0,4512.0,2521.0,3623.0,1886.0,3314.0,2958.0,27478.0,2209.0,1027.0,70.0,33630.0,15926.0,27708.0,2009.0,2517.0,2918.0,26604.0,6122.0,6541.0,7166.0,38931.0,2797.0,5602.0,3221.0,26068.0,40288.0,3354.0,45032.0,20223.0,34820.0,45910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20335.0,5899.0,26334.0,33018.0,589.0,7549.0,596.0,29347.0,40991.0,19586.0,17463.0,35292.0,37376.0,28244.0,9501.0,10659.0,7149.0,37096.0,40781.0,36503.0,10062.0,3871.0,21530.0,17254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5730.0,5591.0,41818.0,6812.0,4189.0,6979.0,4139.0
BdM1013pool27,29474.0,33717.0,44423.0,33955.0,33802.0,37425.0,14568.0,18861.0,34938.0,37581.0,275.0,1439.0,629.0,2004.0,58.0,490.0,122.0,2008.0,4.0,4.0,12.0,2304.0,2363.0,3452.0,1905.0,3241.0,1426.0,2871.0,2165.0,21987.0,1604.0,847.0,85.0,26257.0,13336.0,25790.0,1478.0,2034.0,2196.0,21683.0,4377.0,5257.0,6886.0,30625.0,2068.0,4232.0,2696.0,20749.0,31214.0,3343.0,34828.0,20342.0,27502.0,35151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18061.0,5759.0,22730.0,29937.0,529.0,6601.0,625.0,25269.0,32466.0,15485.0,14250.0,28992.0,30583.0,24082.0,9461.0,9603.0,6851.0,30585.0,32124.0,29532.0,8525.0,3662.0,16525.0,14975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4316.0,4414.0,36494.0,4920.0,3575.0,4928.0,3450.0
BdM1014pool13,40382.0,42764.0,33955.0,66539.0,47561.0,53276.0,18693.0,20666.0,48998.0,53678.0,306.0,1617.0,985.0,2561.0,40.0,584.0,164.0,2367.0,,,22.0,2900.0,3423.0,5154.0,2880.0,3836.0,1993.0,3462.0,3271.0,29799.0,2384.0,1150.0,92.0,36924.0,17596.0,29723.0,2172.0,2709.0,3361.0,29713.0,6575.0,7016.0,7566.0,43126.0,3271.0,6168.0,3206.0,28732.0,44288.0,3453.0,50191.0,21781.0,38272.0,51108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22279.0,6196.0,29074.0,35904.0,645.0,7906.0,724.0,32606.0,45322.0,21850.0,19533.0,38875.0,41715.0,30971.0,10112.0,11542.0,7521.0,40729.0,45076.0,40198.0,11203.0,4344.0,24055.0,19132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.0,6223.0,45924.0,7645.0,4486.0,7664.0,4414.0
BdM1015pool13,40515.0,42602.0,33802.0,47561.0,66380.0,53213.0,18665.0,20532.0,48645.0,53559.0,316.0,1589.0,892.0,2376.0,75.0,514.0,148.0,2291.0,,12.0,22.0,2760.0,3321.0,5038.0,2851.0,3807.0,1966.0,3398.0,3159.0,29704.0,2515.0,1051.0,90.0,36646.0,17350.0,29818.0,2126.0,2690.0,3018.0,29407.0,6527.0,7034.0,7519.0,42926.0,3127.0,6182.0,3123.0,28354.0,43912.0,3488.0,50072.0,21648.0,37908.0,50989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22154.0,6393.0,28681.0,35639.0,613.0,7886.0,772.0,32239.0,45179.0,22129.0,19716.0,38548.0,41331.0,30878.0,9894.0,11337.0,7437.0,40811.0,44915.0,39961.0,11318.0,4336.0,24160.0,19355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6306.0,6141.0,45516.0,7706.0,4421.0,7712.0,4398.0
BdM1016pool13,45452.0,48184.0,37425.0,53276.0,53213.0,79101.0,20500.0,22774.0,55081.0,60898.0,366.0,1790.0,993.0,2918.0,18.0,630.0,160.0,2726.0,,,23.0,3298.0,3855.0,5857.0,3258.0,4605.0,2326.0,4165.0,3675.0,33088.0,2599.0,1132.0,98.0,40941.0,19253.0,33783.0,2355.0,3124.0,3684.0,32607.0,7933.0,7577.0,8322.0,48470.0,3614.0,7451.0,3967.0,31679.0,49944.0,3640.0,57185.0,23373.0,42722.0,59066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25221.0,6817.0,32770.0,40644.0,736.0,8764.0,767.0,37106.0,52763.0,25808.0,22820.0,44585.0,47893.0,35133.0,10782.0,12854.0,7795.0,47398.0,52460.0,46288.0,12801.0,4956.0,28569.0,22351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7412.0,7533.0,53162.0,9375.0,5477.0,9336.0,5265.0
BdM1017pool13,16616.0,17302.0,14568.0,18693.0,18665.0,20500.0,24018.0,9915.0,19081.0,20467.0,216.0,843.0,385.0,1130.0,16.0,251.0,92.0,1116.0,,,22.0,1260.0,1536.0,2145.0,1243.0,1728.0,971.0,1460.0,1344.0,12780.0,1104.0,636.0,38.0,15037.0,7991.0,12833.0,929.0,1104.0,1481.0,12371.0,2576.0,3415.0,3862.0,17104.0,1318.0,2388.0,1463.0,12166.0,17045.0,2009.0,18889.0,9875.0,15262.0,19347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8423.0,3030.0,11009.0,13909.0,216.0,3397.0,325.0,12166.0,16426.0,8034.0,7408.0,14637.0,15380.0,11811.0,4783.0,4877.0,3783.0,15184.0,16468.0,14774.0,4627.0,1916.0,8667.0,7431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2394.0,2449.0,17519.0,2849.0,1825.0,2948.0,1886.0
BdM1017pool27,18351.0,19276.0,18861.0,20666.0,20532.0,22774.0,9915.0,26770.0,21390.0,22742.0,164.0,855.0,363.0,1271.0,10.0,305.0,83.0,1279.0,,,12.0,1425.0,1473.0,2065.0,1067.0,1912.0,849.0,1745.0,1224.0,13786.0,1056.0,525.0,42.0,16280.0,8479.0,17800.0,890.0,1351.0,1313.0,13377.0,2467.0,3454.0,5717.0,18794.0,1315.0,2460.0,1657.0,13361.0,19068.0,2340.0,20849.0,12857.0,16722.0,21462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10370.0,3583.0,13306.0,17881.0,366.0,4521.0,440.0,14701.0,19084.0,9278.0,8416.0,16996.0,18207.0,14164.0,6535.0,5826.0,4751.0,17728.0,18820.0,17312.0,5288.0,2577.0,9786.0,8967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2494.0,2535.0,21800.0,2900.0,2085.0,2940.0,2041.0
BdM1018pool13,41772.0,44225.0,34938.0,48998.0,48645.0,55081.0,19081.0,21390.0,69255.0,55529.0,341.0,1695.0,906.0,2667.0,36.0,568.0,176.0,2425.0,,,22.0,2977.0,3464.0,5019.0,3042.0,3960.0,1969.0,3889.0,3538.0,31008.0,2396.0,1177.0,60.0,37806.0,17621.0,30786.0,2128.0,2704.0,3374.0,30173.0,6777.0,7175.0,7803.0,44336.0,3194.0,6258.0,3320.0,29399.0,45861.0,3511.0,51692.0,22005.0,38799.0,53195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22992.0,6342.0,29896.0,36874.0,671.0,8104.0,775.0,33536.0,46907.0,22402.0,20156.0,40075.0,42924.0,31863.0,10291.0,11693.0,7509.0,42480.0,46617.0,41460.0,11355.0,4335.0,24725.0,19420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6511.0,6528.0,47433.0,7725.0,4722.0,8076.0,4587.0
BdM1019pool13,45767.0,48065.0,37581.0,53678.0,53559.0,60898.0,20467.0,22742.0,55529.0,79702.0,406.0,1877.0,1055.0,3009.0,68.0,638.0,185.0,2865.0,,14.0,37.0,3398.0,4017.0,5986.0,3417.0,4706.0,2276.0,4259.0,3846.0,33316.0,2937.0,1270.0,85.0,41432.0,19174.0,34137.0,2544.0,3198.0,3877.0,32601.0,8171.0,7679.0,8456.0,49330.0,3501.0,7394.0,3813.0,31939.0,50588.0,3684.0,57590.0,23403.0,42983.0,59558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25807.0,6710.0,32739.0,40791.0,729.0,8953.0,869.0,37020.0,52546.0,25349.0,22515.0,44622.0,47713.0,35419.0,10725.0,13055.0,7864.0,47211.0,52624.0,46236.0,12869.0,4851.0,28116.0,21850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7698.0,7590.0,53066.0,9459.0,5466.0,9609.0,5256.0
