,BdM1012pool13,BdM1013pool13,BdM1013pool27,BdM1014pool13,BdM1015pool13,BdM1016pool13,BdM1017pool13,BdM1017pool27,BdM1018pool13,BdM1019pool13,BdM1020pool13,BdM1020pool27,BdM1021pool13,BdM1021pool27,BdM1022pool13,BdM1022pool27,BdM1023pool13,BdM1023pool27,BdM1024pool13,BdM1024pool18,BdM1025pool13,BdM1025pool27,BdM1026pool13,BdM1027pool13,BdM1028pool13,BdM1028pool27,BdM1029pool13,BdM1029pool27,BdM1030pool13,BdM1031pool13,BdM1032pool13,BdM1033pool13,BdM1033pool27,BdM1034pool13,BdM1035pool13,BdM1035pool27,BdM1036pool13,BdM1036pool27,BdM1037pool13,BdM1038pool13,BdM1039pool13,BdM1040pool13,BdM1040pool27,BdM1041pool13,BdM1042pool13,BdM1043pool13,BdM1043pool27,BdM1044pool13,BdM1045pool13,BdM1045pool27,BdM1046pool13,BdM1046pool27,BdM1047pool13,BdM1048pool13,BdM1050pool14,BdM1050pool24,BdM1051pool14,BdM1051pool21,BdM1052pool14,BdM1053pool14,BdM1053pool24,BdM1054pool14,BdM1054pool24,BdM1055pool14,BdM1056pool14,BdM1057pool14,BdM1057pool21,BdM1064pool14,BdM1064pool24,BdM1065pool14,BdM1065pool24,BdM1066pool14,BdM1066pool24,BdM1067pool14,BdM1067pool24,BdM1068pool14,BdM1068pool24,BdM1069pool14,BdM1069pool24,BdM1070pool14,BdM1071pool14,BdM1071pool24,BdM1072pool14,BdM1073pool14,BdM1074pool14,BdM1075pool14,BdM1075pool24,BdM1128pool08,BdM1129pool08,BdM1130pool08,BdM1131pool08,BdM1131pool28,BdM1133pool08,BdM1133pool28,BdM1135pool08,BdM1135pool28,BdM1136pool28,BdM1138pool28,BdM1139pool08,BdM1139pool28,BdM1140pool28,BdM1141pool28,BdM1142pool08,BdM1142pool28,BdM1143pool08,BdM1143pool28,BdM1144pool08,BdM1144pool28,BdM1146pool08,BdM1146pool28,BdM1147pool08,BdM1147pool28,BdM1148pool08,BdM1148pool28,BdM1149pool08,BdM1149pool28,BdM1150pool08,BdM1150pool28,BdM1151pool08,BdM1151pool28,BdM1152pool08,BdM1153pool08,BdM1154pool08,BdM1154pool28,BdM1155pool08,BdM1156pool08,BdM1158pool08,BdM1158pool28,BdM1159pool08,BdM1160pool08,BdM1161pool08,BdM1162pool08,BdM1162pool28,BdM1163pool08,BdM1211pool11,BdM1212pool11,BdM1213pool11,BdM1213pool24,BdM1214pool11,BdM1215pool11,BdM1216pool11,BdM1216pool24,BdM1217pool11,BdM1218pool11,BdM1219pool11,BdM1219pool24,BdM1220pool11,BdM1220pool21,BdM1221pool11,BdM1221pool21,BdM1222pool11,BdM1222pool24,BdM1223pool11,BdM1223pool24,BdM1224pool11,BdM1225pool11,BdM1226pool11,BdM1226pool21,BdM1227pool11,BdM1227pool24,BdM1228pool11,BdM1229pool11,BdM1229pool24,BdM1230pool11,BdM1230pool24,BdM1231pool05,BdM1231pool27,BdM1232pool05,BdM1232pool27,BdM1233pool05,BdM1233pool18,BdM1234pool05,BdM1235pool05,BdM1236pool05,BdM1237pool05,BdM1238pool05,BdM1239pool05,BdM1240pool05,BdM1241pool05,BdM1241pool27,BdM1242pool05,BdM1242pool27,BdM1243pool05,BdM1244pool05,BdM1245pool05,BdM1246pool05,BdM1246pool27,BdM1247pool05,BdM1247pool27,BdM1248pool12,BdM1248pool29,BdM1249pool12,BdM1249pool29,BdM1250pool12,BdM1250pool29,BdM1251pool12,BdM1252pool12,BdM1252pool29,BdM1253pool12,BdM1254pool12,BdM1254pool19,BdM1255pool12,BdM1255pool29,BdM1256pool12,BdM1256pool29,BdM1257pool12,BdM1258pool12,BdM1259pool12,BdM1260pool12,BdM1261pool12,BdM1262pool12,BdM1263pool12,BdM1264pool12,BdM1265pool12,BdM1265pool19,BdM1266pool12,BdM1266pool29,BdM1267pool12,BdM1268pool11,BdM1269pool11,BdM1269pool24,BdM1270pool11,BdM1272pool12,BdM1272pool29,BdM1273pool12,BdM1274pool12,BdM1275pool12,BdM1795pool34,BdM1796pool34,BdM1797pool34,BdM1798pool34,BdM1799pool34,BdM1800pool34,BdM1801pool34
BdM1012pool13,0.0,67.0,53.0,58.0,62.0,84.0,25.0,32.0,68.0,74.0,0.0,7.0,4.0,18.0,0.0,2.0,0.0,18.0,0.0,,1.0,18.0,15.0,23.0,8.0,23.0,8.0,19.0,10.0,72.0,14.0,6.0,0.0,78.0,34.0,72.0,10.0,14.0,13.0,55.0,32.0,13.0,23.0,98.0,11.0,35.0,22.0,48.0,102.0,5.0,119.0,49.0,80.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,20.0,65.0,108.0,1.0,25.0,2.0,84.0,127.0,80.0,70.0,101.0,112.0,74.0,21.0,32.0,14.0,105.0,129.0,110.0,39.0,19.0,89.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,27.0,109.0,33.0,21.0,35.0,21.0
BdM1013pool13,46.0,0.0,25.0,63.0,55.0,75.0,19.0,24.0,62.0,77.0,0.0,4.0,4.0,11.0,0.0,1.0,0.0,11.0,,,1.0,12.0,13.0,22.0,8.0,20.0,9.0,16.0,10.0,74.0,11.0,4.0,0.0,74.0,29.0,61.0,9.0,10.0,16.0,56.0,32.0,15.0,17.0,105.0,12.0,30.0,20.0,60.0,105.0,2.0,113.0,54.0,87.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,19.0,70.0,106.0,2.0,30.0,1.0,81.0,134.0,83.0,69.0,113.0,120.0,89.0,23.0,30.0,18.0,124.0,140.0,124.0,35.0,12.0,87.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,29.0,120.0,32.0,21.0,34.0,20.0
BdM1013pool27,33.0,19.0,0.0,42.0,33.0,47.0,15.0,20.0,37.0,55.0,0.0,5.0,4.0,10.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,10.0,11.0,19.0,6.0,16.0,8.0,13.0,9.0,56.0,9.0,5.0,0.0,54.0,28.0,53.0,3.0,9.0,8.0,37.0,21.0,10.0,15.0,79.0,8.0,20.0,12.0,43.0,72.0,3.0,87.0,44.0,62.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,15.0,60.0,86.0,0.0,22.0,2.0,65.0,102.0,56.0,43.0,80.0,88.0,72.0,25.0,27.0,14.0,91.0,100.0,77.0,19.0,12.0,56.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,22.0,88.0,23.0,14.0,24.0,16.0
BdM1014pool13,49.0,57.0,44.0,0.0,68.0,83.0,29.0,25.0,74.0,80.0,0.0,6.0,6.0,16.0,0.0,1.0,0.0,12.0,,,1.0,15.0,14.0,24.0,7.0,20.0,9.0,17.0,15.0,70.0,12.0,4.0,0.0,79.0,35.0,76.0,9.0,14.0,15.0,67.0,35.0,11.0,18.0,98.0,13.0,33.0,17.0,60.0,112.0,3.0,136.0,48.0,84.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,22.0,81.0,112.0,1.0,27.0,2.0,95.0,139.0,88.0,81.0,114.0,131.0,97.0,29.0,34.0,16.0,129.0,144.0,126.0,44.0,18.0,95.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,31.0,125.0,37.0,22.0,37.0,20.0
BdM1015pool13,50.0,56.0,48.0,63.0,0.0,84.0,21.0,27.0,72.0,79.0,0.0,4.0,4.0,16.0,1.0,1.0,0.0,15.0,,0.0,1.0,12.0,12.0,24.0,8.0,19.0,8.0,17.0,13.0,68.0,11.0,4.0,0.0,78.0,35.0,78.0,10.0,13.0,14.0,60.0,34.0,16.0,14.0,112.0,16.0,33.0,18.0,59.0,107.0,4.0,136.0,52.0,76.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,23.0,83.0,124.0,1.0,24.0,3.0,104.0,153.0,86.0,79.0,116.0,132.0,95.0,26.0,36.0,21.0,139.0,142.0,131.0,42.0,12.0,90.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,34.0,134.0,36.0,19.0,33.0,20.0
BdM1016pool13,30.0,42.0,27.0,57.0,59.0,0.0,20.0,25.0,59.0,69.0,0.0,4.0,4.0,17.0,0.0,1.0,0.0,15.0,,,1.0,12.0,17.0,25.0,7.0,23.0,7.0,20.0,11.0,68.0,14.0,5.0,0.0,76.0,39.0,78.0,15.0,14.0,15.0,54.0,40.0,17.0,16.0,105.0,17.0,40.0,21.0,56.0,96.0,4.0,126.0,43.0,81.0,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,26.0,81.0,105.0,1.0,26.0,0.0,103.0,153.0,89.0,77.0,120.0,131.0,96.0,26.0,34.0,17.0,142.0,155.0,132.0,36.0,16.0,98.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,35.0,130.0,42.0,25.0,38.0,24.0
BdM1017pool13,26.0,26.0,18.0,27.0,29.0,37.0,0.0,10.0,28.0,36.0,0.0,4.0,1.0,7.0,0.0,1.0,0.0,7.0,,,1.0,5.0,8.0,15.0,2.0,10.0,7.0,8.0,9.0,32.0,3.0,3.0,0.0,34.0,15.0,29.0,4.0,8.0,9.0,28.0,16.0,10.0,7.0,40.0,6.0,11.0,8.0,30.0,41.0,2.0,48.0,32.0,36.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,8.0,25.0,36.0,0.0,6.0,2.0,30.0,47.0,30.0,23.0,36.0,39.0,30.0,20.0,15.0,5.0,42.0,48.0,36.0,12.0,6.0,30.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,15.0,52.0,16.0,8.0,17.0,11.0
BdM1017pool27,31.0,29.0,26.0,28.0,30.0,41.0,8.0,0.0,29.0,36.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,10.0,,,1.0,7.0,5.0,11.0,4.0,10.0,4.0,10.0,6.0,37.0,4.0,3.0,0.0,41.0,21.0,40.0,1.0,6.0,6.0,30.0,12.0,10.0,14.0,52.0,6.0,12.0,9.0,32.0,53.0,4.0,64.0,38.0,41.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,13.0,35.0,59.0,0.0,12.0,0.0,42.0,67.0,33.0,28.0,55.0,66.0,45.0,22.0,15.0,15.0,60.0,62.0,55.0,14.0,12.0,31.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,15.0,61.0,14.0,9.0,13.0,12.0
BdM1018pool13,46.0,57.0,42.0,63.0,68.0,80.0,18.0,20.0,0.0,75.0,0.0,5.0,6.0,16.0,0.0,1.0,0.0,14.0,,,1.0,14.0,10.0,22.0,5.0,21.0,7.0,20.0,11.0,73.0,13.0,4.0,0.0,70.0,36.0,68.0,7.0,11.0,13.0,57.0,32.0,14.0,22.0,101.0,14.0,31.0,18.0,54.0,99.0,4.0,130.0,51.0,82.0,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,22.0,73.0,106.0,0.0,19.0,1.0,97.0,143.0,83.0,70.0,122.0,121.0,89.0,26.0,32.0,21.0,129.0,142.0,124.0,39.0,15.0,95.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,28.0,129.0,32.0,21.0,30.0,18.0
BdM1019pool13,36.0,45.0,37.0,52.0,53.0,69.0,22.0,18.0,58.0,0.0,0.0,9.0,7.0,18.0,0.0,1.0,0.0,19.0,,0.0,1.0,16.0,18.0,28.0,8.0,29.0,8.0,23.0,18.0,74.0,18.0,6.0,0.0,79.0,36.0,80.0,16.0,19.0,20.0,61.0,44.0,15.0,19.0,110.0,15.0,40.0,24.0,51.0,112.0,3.0,139.0,49.0,79.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,22.0,77.0,114.0,1.0,25.0,2.0,103.0,164.0,88.0,80.0,125.0,133.0,97.0,25.0,27.0,20.0,144.0,165.0,139.0,39.0,19.0,98.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,39.0,136.0,47.0,27.0,45.0,29.0
