,BdM1012pool13,BdM1013pool13,BdM1013pool27,BdM1014pool13,BdM1015pool13,BdM1016pool13,BdM1017pool13,BdM1017pool27,BdM1018pool13,BdM1019pool13,BdM1020pool13,BdM1020pool27,BdM1021pool13,BdM1021pool27,BdM1022pool13,BdM1022pool27,BdM1023pool13,BdM1023pool27,BdM1024pool13,BdM1024pool18,BdM1025pool13,BdM1025pool27,BdM1026pool13,BdM1027pool13,BdM1028pool13,BdM1028pool27,BdM1029pool13,BdM1029pool27,BdM1030pool13,BdM1031pool13,BdM1032pool13,BdM1033pool13,BdM1033pool27,BdM1034pool13,BdM1035pool13,BdM1035pool27,BdM1036pool13,BdM1036pool27,BdM1037pool13,BdM1038pool13,BdM1039pool13,BdM1040pool13,BdM1040pool27,BdM1041pool13,BdM1042pool13,BdM1043pool13,BdM1043pool27,BdM1044pool13,BdM1045pool13,BdM1045pool27,BdM1046pool13,BdM1046pool27,BdM1047pool13,BdM1048pool13,BdM1050pool14,BdM1050pool24,BdM1051pool14,BdM1051pool21,BdM1052pool14,BdM1053pool14,BdM1053pool24,BdM1054pool14,BdM1054pool24,BdM1055pool14,BdM1056pool14,BdM1057pool14,BdM1057pool21,BdM1064pool14,BdM1064pool24,BdM1065pool14,BdM1065pool24,BdM1066pool14,BdM1066pool24,BdM1067pool14,BdM1067pool24,BdM1068pool14,BdM1068pool24,BdM1069pool14,BdM1069pool24,BdM1070pool14,BdM1071pool14,BdM1071pool24,BdM1072pool14,BdM1073pool14,BdM1074pool14,BdM1075pool14,BdM1075pool24,BdM1128pool08,BdM1129pool08,BdM1130pool08,BdM1131pool08,BdM1131pool28,BdM1133pool08,BdM1133pool28,BdM1135pool08,BdM1135pool28,BdM1136pool28,BdM1138pool28,BdM1139pool08,BdM1139pool28,BdM1140pool28,BdM1141pool28,BdM1142pool08,BdM1142pool28,BdM1143pool08,BdM1143pool28,BdM1144pool08,BdM1144pool28,BdM1146pool08,BdM1146pool28,BdM1147pool08,BdM1147pool28,BdM1148pool08,BdM1148pool28,BdM1149pool08,BdM1149pool28,BdM1150pool08,BdM1150pool28,BdM1151pool08,BdM1151pool28,BdM1152pool08,BdM1153pool08,BdM1154pool08,BdM1154pool28,BdM1155pool08,BdM1156pool08,BdM1158pool08,BdM1158pool28,BdM1159pool08,BdM1160pool08,BdM1161pool08,BdM1162pool08,BdM1162pool28,BdM1163pool08,BdM1211pool11,BdM1212pool11,BdM1213pool11,BdM1213pool24,BdM1214pool11,BdM1215pool11,BdM1216pool11,BdM1216pool24,BdM1217pool11,BdM1218pool11,BdM1219pool11,BdM1219pool24,BdM1220pool11,BdM1220pool21,BdM1221pool11,BdM1221pool21,BdM1222pool11,BdM1222pool24,BdM1223pool11,BdM1223pool24,BdM1224pool11,BdM1225pool11,BdM1226pool11,BdM1226pool21,BdM1227pool11,BdM1227pool24,BdM1228pool11,BdM1229pool11,BdM1229pool24,BdM1230pool11,BdM1230pool24,BdM1231pool05,BdM1231pool27,BdM1232pool05,BdM1232pool27,BdM1233pool05,BdM1233pool18,BdM1234pool05,BdM1235pool05,BdM1236pool05,BdM1237pool05,BdM1238pool05,BdM1239pool05,BdM1240pool05,BdM1241pool05,BdM1241pool27,BdM1242pool05,BdM1242pool27,BdM1243pool05,BdM1244pool05,BdM1245pool05,BdM1246pool05,BdM1246pool27,BdM1247pool05,BdM1247pool27,BdM1248pool12,BdM1248pool29,BdM1249pool12,BdM1249pool29,BdM1250pool12,BdM1250pool29,BdM1251pool12,BdM1252pool12,BdM1252pool29,BdM1253pool12,BdM1254pool12,BdM1254pool19,BdM1255pool12,BdM1255pool29,BdM1256pool12,BdM1256pool29,BdM1257pool12,BdM1258pool12,BdM1259pool12,BdM1260pool12,BdM1261pool12,BdM1262pool12,BdM1263pool12,BdM1264pool12,BdM1265pool12,BdM1265pool19,BdM1266pool12,BdM1266pool29,BdM1267pool12,BdM1268pool11,BdM1269pool11,BdM1269pool24,BdM1270pool11,BdM1272pool12,BdM1272pool29,BdM1273pool12,BdM1274pool12,BdM1275pool12,BdM1795pool34,BdM1796pool34,BdM1797pool34,BdM1798pool34,BdM1799pool34,BdM1800pool34,BdM1801pool34
BdM1012pool13,822812.0,521387.0,402788.0,571039.0,569883.0,655661.0,227574.0,246478.0,593175.0,657642.0,2630.0,15413.0,8561.0,23816.0,360.0,5018.0,994.0,22710.0,92.0,,277.0,27828.0,31138.0,46207.0,27191.0,36165.0,18008.0,32114.0,30017.0,325160.0,21849.0,10224.0,820.0,402856.0,191588.0,329046.0,19313.0,24980.0,29834.0,321707.0,59422.0,76625.0,84673.0,479437.0,27576.0,56741.0,30735.0,317382.0,492343.0,35901.0,559580.0,229787.0,423606.0,578698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233475.0,62428.0,292966.0,369883.0,5839.0,78731.0,6636.0,329348.0,473807.0,201012.0,179351.0,402578.0,434100.0,317296.0,104606.0,115113.0,78567.0,425324.0,471998.0,416456.0,105136.0,41600.0,224025.0,176187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55969.0,55835.0,506866.0,67102.0,41422.0,68936.0,39793.0
BdM1013pool13,521387.0,882703.0,474819.0,610363.0,605312.0,695269.0,238598.0,259740.0,632433.0,694916.0,3000.0,15441.0,8555.0,23972.0,360.0,5557.0,1272.0,23957.0,,,187.0,28684.0,33225.0,49816.0,27644.0,38575.0,19248.0,34596.0,31927.0,345561.0,23201.0,10383.0,637.0,430576.0,204329.0,350250.0,21600.0,26819.0,31729.0,338592.0,63262.0,80722.0,88414.0,509667.0,28951.0,59360.0,32534.0,330844.0,525155.0,38897.0,595834.0,244895.0,447134.0,614413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246194.0,66718.0,314209.0,398833.0,6456.0,87757.0,7348.0,356650.0,510675.0,208195.0,186343.0,431467.0,460717.0,341198.0,111944.0,123782.0,82425.0,456113.0,506875.0,448570.0,106746.0,42021.0,233724.0,184432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60332.0,58854.0,548578.0,71284.0,43661.0,72710.0,43243.0
BdM1013pool27,402788.0,474819.0,632465.0,468288.0,462898.0,521192.0,197409.0,255357.0,482220.0,520950.0,2541.0,14707.0,6216.0,21047.0,540.0,4744.0,1082.0,21587.0,180.0,273.0,94.0,24410.0,24260.0,37265.0,20887.0,34591.0,14511.0,30133.0,23523.0,269169.0,16520.0,8801.0,1180.0,328366.0,164251.0,324293.0,15601.0,21775.0,22885.0,267573.0,44506.0,62174.0,84563.0,386656.0,20866.0,44127.0,28341.0,256070.0,395249.0,39536.0,442792.0,247754.0,346065.0,448810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214514.0,64434.0,267894.0,358560.0,5832.0,75821.0,7090.0,301939.0,393713.0,162338.0,149686.0,347137.0,367564.0,286245.0,111402.0,111066.0,79397.0,366725.0,385807.0,354220.0,89632.0,40124.0,175213.0,159330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45669.0,45499.0,470691.0,51132.0,37846.0,51051.0,35765.0
BdM1014pool13,571039.0,610363.0,468288.0,1008248.0,686417.0,782231.0,263994.0,280876.0,712365.0,788482.0,3175.0,16820.0,10298.0,27707.0,450.0,6101.0,1451.0,26591.0,,,187.0,32245.0,36462.0,57429.0,31270.0,42602.0,21423.0,37878.0,36066.0,380079.0,32553.0,12301.0,907.0,476613.0,223297.0,377422.0,23671.0,29786.0,36902.0,379397.0,71070.0,86822.0,94038.0,576418.0,34175.0,68251.0,33638.0,368736.0,587561.0,39928.0,672981.0,262983.0,494192.0,693291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270892.0,72249.0,347177.0,435517.0,7273.0,91880.0,10867.0,396489.0,571842.0,238374.0,212095.0,472673.0,516684.0,376945.0,119889.0,136264.0,88389.0,503038.0,561629.0,494884.0,119727.0,46412.0,266467.0,207353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69389.0,68151.0,602977.0,83068.0,49645.0,83972.0,47660.0
BdM1015pool13,569883.0,605312.0,462898.0,686417.0,1001944.0,778298.0,260821.0,278509.0,708762.0,783912.0,2995.0,15920.0,9029.0,24827.0,636.0,5115.0,1272.0,24436.0,,90.0,187.0,29900.0,35261.0,54420.0,29966.0,40087.0,20267.0,35278.0,34212.0,377718.0,33206.0,10682.0,730.0,474265.0,223048.0,378674.0,22146.0,28083.0,32337.0,378140.0,67767.0,86892.0,93074.0,575678.0,32399.0,66460.0,32358.0,362838.0,580316.0,39912.0,670275.0,262898.0,492141.0,687647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271052.0,73409.0,343697.0,432325.0,7349.0,92507.0,11316.0,395158.0,571293.0,238649.0,211849.0,471431.0,515849.0,375504.0,118036.0,133493.0,88108.0,507513.0,561389.0,496026.0,119485.0,46211.0,264691.0,207006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66266.0,64425.0,598505.0,80578.0,47155.0,80738.0,45620.0
BdM1016pool13,655661.0,695269.0,521192.0,782231.0,778298.0,1212399.0,290809.0,314117.0,812357.0,911805.0,3540.0,18094.0,9837.0,30161.0,265.0,6194.0,1362.0,29003.0,,,277.0,34585.0,40317.0,63629.0,34946.0,48602.0,24032.0,42712.0,39282.0,426044.0,34303.0,11898.0,820.0,536963.0,248762.0,433387.0,24770.0,32593.0,39627.0,421299.0,83009.0,94691.0,105463.0,655240.0,36940.0,78393.0,39526.0,412254.0,670796.0,42264.0,781208.0,286723.0,564941.0,810861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312193.0,79420.0,397761.0,500070.0,8544.0,103076.0,11678.0,457514.0,674596.0,280748.0,246284.0,554790.0,605468.0,435084.0,129668.0,154755.0,93585.0,594859.0,665765.0,580749.0,137358.0,53604.0,316415.0,241631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79812.0,79373.0,712224.0,97795.0,57368.0,98300.0,54291.0
BdM1017pool13,227574.0,238598.0,197409.0,263994.0,260821.0,290809.0,350140.0,137849.0,270078.0,290748.0,1910.0,8735.0,4293.0,11904.0,180.0,2653.0,814.0,12094.0,,,187.0,13192.0,15921.0,22365.0,13442.0,18521.0,9627.0,15278.0,14907.0,159941.0,15895.0,6537.0,453.0,192330.0,101849.0,161034.0,9726.0,12269.0,15651.0,157076.0,26568.0,42028.0,46576.0,225398.0,13609.0,25514.0,15180.0,153208.0,222779.0,22991.0,247053.0,120962.0,194315.0,254267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105907.0,36669.0,131543.0,167879.0,2908.0,40719.0,6074.0,147695.0,203835.0,85293.0,78215.0,176630.0,190878.0,145442.0,58806.0,58429.0,44957.0,187326.0,203191.0,181312.0,48516.0,20232.0,93898.0,78870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25378.0,25550.0,226757.0,29534.0,19721.0,30302.0,19544.0
BdM1017pool27,246478.0,259740.0,255357.0,280876.0,278509.0,314117.0,137849.0,375495.0,290827.0,313144.0,1637.0,9367.0,3920.0,13996.0,180.0,2738.0,721.0,13913.0,,,94.0,15622.0,15270.0,22644.0,12087.0,20902.0,8907.0,18826.0,13551.0,167385.0,12965.0,5550.0,451.0,201087.0,106142.0,224548.0,9625.0,14974.0,13903.0,163385.0,25893.0,42474.0,71905.0,237762.0,13884.0,26447.0,17721.0,163271.0,239599.0,27460.0,262233.0,155073.0,207376.0,272154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124567.0,43113.0,157981.0,215586.0,4196.0,52719.0,6706.0,175852.0,232837.0,97493.0,89035.0,202893.0,219046.0,169231.0,78157.0,69978.0,56082.0,213059.0,227704.0,206690.0,55941.0,28214.0,103551.0,95026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26441.0,26455.0,278196.0,30158.0,21987.0,30241.0,21722.0
BdM1018pool13,593175.0,632433.0,482220.0,712365.0,708762.0,812357.0,270078.0,290827.0,1052909.0,818199.0,3187.0,16819.0,8844.0,26971.0,450.0,5479.0,1451.0,25505.0,,,187.0,31071.0,35886.0,54547.0,32054.0,41596.0,20572.0,39150.0,37479.0,397244.0,31465.0,11774.0,636.0,491196.0,226010.0,390710.0,22212.0,28397.0,35836.0,387195.0,70734.0,90064.0,97291.0,595487.0,32089.0,67248.0,33629.0,378860.0,607729.0,40260.0,693673.0,268395.0,506923.0,718837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281061.0,74968.0,358997.0,448886.0,7830.0,94989.0,11331.0,412210.0,595186.0,241599.0,216874.0,491355.0,536135.0,389429.0,123772.0,140721.0,89117.0,529156.0,585688.0,517461.0,122344.0,46194.0,271106.0,209842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68999.0,68237.0,626879.0,81288.0,49727.0,83903.0,47572.0
BdM1019pool13,657642.0,694916.0,520950.0,788482.0,783912.0,911805.0,290748.0,313144.0,818199.0,1230241.0,4248.0,21573.0,11739.0,34778.0,728.0,6566.0,1901.0,33751.0,,92.0,369.0,40208.0,46721.0,73996.0,39886.0,56184.0,27042.0,49013.0,46500.0,429519.0,40037.0,14097.0,998.0,545680.0,248514.0,437656.0,29751.0,37567.0,45943.0,423164.0,94177.0,96672.0,105621.0,666665.0,41039.0,86717.0,44201.0,416593.0,680095.0,42641.0,788096.0,287904.0,568707.0,821296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317134.0,79434.0,395910.0,499023.0,8555.0,105093.0,12590.0,458024.0,672082.0,276250.0,242937.0,552778.0,602401.0,436277.0,129184.0,155887.0,93906.0,593376.0,665409.0,578498.0,138331.0,52424.0,311813.0,237452.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90555.0,88526.0,709619.0,109041.0,64202.0,110933.0,61711.0
