,BdM1012pool13,BdM1013pool13,BdM1013pool27,BdM1014pool13,BdM1015pool13,BdM1016pool13,BdM1017pool13,BdM1017pool27,BdM1018pool13,BdM1019pool13,BdM1020pool13,BdM1020pool27,BdM1021pool13,BdM1021pool27,BdM1022pool13,BdM1022pool27,BdM1023pool13,BdM1023pool27,BdM1024pool13,BdM1024pool18,BdM1025pool13,BdM1025pool27,BdM1026pool13,BdM1027pool13,BdM1028pool13,BdM1028pool27,BdM1029pool13,BdM1029pool27,BdM1030pool13,BdM1031pool13,BdM1032pool13,BdM1033pool13,BdM1033pool27,BdM1034pool13,BdM1035pool13,BdM1035pool27,BdM1036pool13,BdM1036pool27,BdM1037pool13,BdM1038pool13,BdM1039pool13,BdM1040pool13,BdM1040pool27,BdM1041pool13,BdM1042pool13,BdM1043pool13,BdM1043pool27,BdM1044pool13,BdM1045pool13,BdM1045pool27,BdM1046pool13,BdM1046pool27,BdM1047pool13,BdM1048pool13,BdM1050pool14,BdM1050pool24,BdM1051pool14,BdM1051pool21,BdM1052pool14,BdM1053pool14,BdM1053pool24,BdM1054pool14,BdM1054pool24,BdM1055pool14,BdM1056pool14,BdM1057pool14,BdM1057pool21,BdM1064pool14,BdM1064pool24,BdM1065pool14,BdM1065pool24,BdM1066pool14,BdM1066pool24,BdM1067pool14,BdM1067pool24,BdM1068pool14,BdM1068pool24,BdM1069pool14,BdM1069pool24,BdM1070pool14,BdM1071pool14,BdM1071pool24,BdM1072pool14,BdM1073pool14,BdM1074pool14,BdM1075pool14,BdM1075pool24,BdM1128pool08,BdM1129pool08,BdM1130pool08,BdM1131pool08,BdM1131pool28,BdM1133pool08,BdM1133pool28,BdM1135pool08,BdM1135pool28,BdM1136pool28,BdM1138pool28,BdM1139pool08,BdM1139pool28,BdM1140pool28,BdM1141pool28,BdM1142pool08,BdM1142pool28,BdM1143pool08,BdM1143pool28,BdM1144pool08,BdM1144pool28,BdM1146pool08,BdM1146pool28,BdM1147pool08,BdM1147pool28,BdM1148pool08,BdM1148pool28,BdM1149pool08,BdM1149pool28,BdM1150pool08,BdM1150pool28,BdM1151pool08,BdM1151pool28,BdM1152pool08,BdM1153pool08,BdM1154pool08,BdM1154pool28,BdM1155pool08,BdM1156pool08,BdM1158pool08,BdM1158pool28,BdM1159pool08,BdM1160pool08,BdM1161pool08,BdM1162pool08,BdM1162pool28,BdM1163pool08,BdM1211pool11,BdM1212pool11,BdM1213pool11,BdM1213pool24,BdM1214pool11,BdM1215pool11,BdM1216pool11,BdM1216pool24,BdM1217pool11,BdM1218pool11,BdM1219pool11,BdM1219pool24,BdM1220pool11,BdM1220pool21,BdM1221pool11,BdM1221pool21,BdM1222pool11,BdM1222pool24,BdM1223pool11,BdM1223pool24,BdM1224pool11,BdM1225pool11,BdM1226pool11,BdM1226pool21,BdM1227pool11,BdM1227pool24,BdM1228pool11,BdM1229pool11,BdM1229pool24,BdM1230pool11,BdM1230pool24,BdM1231pool05,BdM1231pool27,BdM1232pool05,BdM1232pool27,BdM1233pool05,BdM1233pool18,BdM1234pool05,BdM1235pool05,BdM1236pool05,BdM1237pool05,BdM1238pool05,BdM1239pool05,BdM1240pool05,BdM1241pool05,BdM1241pool27,BdM1242pool05,BdM1242pool27,BdM1243pool05,BdM1244pool05,BdM1245pool05,BdM1246pool05,BdM1246pool27,BdM1247pool05,BdM1247pool27,BdM1248pool12,BdM1248pool29,BdM1249pool12,BdM1249pool29,BdM1250pool12,BdM1250pool29,BdM1251pool12,BdM1252pool12,BdM1252pool29,BdM1253pool12,BdM1254pool12,BdM1254pool19,BdM1255pool12,BdM1255pool29,BdM1256pool12,BdM1256pool29,BdM1257pool12,BdM1258pool12,BdM1259pool12,BdM1260pool12,BdM1261pool12,BdM1262pool12,BdM1263pool12,BdM1264pool12,BdM1265pool12,BdM1265pool19,BdM1266pool12,BdM1266pool29,BdM1267pool12,BdM1268pool11,BdM1269pool11,BdM1269pool24,BdM1270pool11,BdM1272pool12,BdM1272pool29,BdM1273pool12,BdM1274pool12,BdM1275pool12,BdM1795pool34,BdM1796pool34,BdM1797pool34,BdM1798pool34,BdM1799pool34,BdM1800pool34,BdM1801pool34
BdM1012pool13,2.0,1.86680310866,1.87483535529,1.87209243528,1.8745492599,1.86604920275,1.87052884319,1.88299653902,1.8649058079,1.86874344498,1.07279693487,1.01224489796,0.99882629108,0.995082700045,1.13333333333,1.02739726027,1.18691588785,1.01361502347,0.181818181818,,0.818181818182,1.0119460501,0.997596153846,1.03497501784,1.00570729719,0.999403163235,0.96044211751,0.981919789612,0.986206896552,1.73038085394,1.0018639329,1.01024590164,1.01063829787,1.72145171743,1.72719880743,1.72607065325,0.996657381616,0.998677831644,0.98378962536,1.73344898536,0.928622285511,1.74376039933,1.75463730961,1.72263299272,0.987124463519,0.963566634708,1.00340020401,1.72709196355,1.7131187318,1.7937730164,1.69619123429,1.74210469392,1.72130020316,1.7032822962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61765939597,1.63789868668,1.61496357875,1.61046492471,1.61290322581,1.63704932871,1.69691119691,1.61354209484,1.59497607656,1.27314941273,1.28131667175,1.60536280516,1.60063504777,1.6192566917,1.64947862954,1.64753928867,1.66671714113,1.59954473822,1.59132510943,1.59911985965,1.30612244898,1.32804517343,1.25975390156,1.2822495168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.958978328173,0.960496613995,1.7091990463,0.928234183192,0.966393022063,0.905617293348,0.968156275087
BdM1013pool13,1.86680310866,2.0,1.98038799636,1.87084667973,1.87546789519,1.87089873123,1.875,1.87571102015,1.87086934418,1.86364602824,1.0522875817,1.01274312542,0.9902200489,1.00136923779,1.20930232558,0.981447124304,0.955974842767,0.993049119555,,,0.857142857143,0.975581838993,0.991025641026,1.00661798266,1.00772043885,0.984745762712,0.967062634989,0.967861557478,0.956386292835,1.72954095544,0.989307298931,0.984,1.07246376812,1.72277589833,1.7289822294,1.71805138472,1.00869565217,0.998770491803,0.990513000703,1.72821977004,0.929754139488,1.73601260835,1.75680737646,1.72811472175,0.966361974406,0.966917845984,0.981823979592,1.72940015785,1.71506619572,1.75608253773,1.70098439485,1.73453175129,1.72166317467,1.70136401059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62416683498,1.6290889905,1.61402893126,1.60761727822,1.64371772806,1.62859871742,1.65136054422,1.60904171758,1.59160818277,1.26255731555,1.27077857602,1.60186205696,1.60039946373,1.61465060591,1.62704518366,1.64213075061,1.65283779891,1.59917389508,1.59300257958,1.59987136825,1.28476955947,1.30510717121,1.24272718658,1.2744923933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.949581329058,0.965510915428,1.70412396291,0.922258837627,0.96017591009,0.902645812016,0.963284544778
BdM1013pool27,1.87483535529,1.98038799636,2.0,1.87403374741,1.88383899432,1.87812848934,1.87652588747,1.88318391741,1.87651650247,1.87309782609,0.981549815498,1.01561391057,1.05409836066,1.02380952381,1.0,0.943396226415,0.868852459016,1.00050684237,2.0,2.0,1.09090909091,1.02570921986,1.02419006479,1.06704242065,1.02361782072,1.01132075472,0.977224199288,0.970859985785,0.988213107025,1.73706332897,1.03562340967,0.954106280193,1.04761904762,1.72929663132,1.73298307966,1.72751848613,0.989056087551,1.02826855124,1.00648448356,1.73185970559,0.961798276264,1.75850606179,1.76873597607,1.73528232543,1.01379310345,0.993934983018,1.01887504719,1.73613378853,1.72374406807,1.75263484191,1.71452841242,1.74414614453,1.7350583498,1.71568115942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61774724651,1.62095476488,1.61158517315,1.60988150368,1.60416666667,1.610343221,1.5857605178,1.60919959473,1.59663206748,1.29174613614,1.29706933524,1.60937389957,1.60425687829,1.61643312102,1.64048109221,1.63269684617,1.65011961722,1.60746447869,1.59974639404,1.6051669426,1.30433221637,1.34652913298,1.273618044,1.3016748366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988711194732,0.97783933518,1.70786485506,0.953325072284,0.980615735462,0.951144094001,1.00147841514
BdM1014pool13,1.87209243528,1.87084667973,1.87403374741,2.0,1.87488729552,1.86929893395,1.86659376709,1.87344470332,1.86904935672,1.86765964732,1.09868421053,1.03265044814,1.04670912951,1.02245388933,0.815789473684,0.979020979021,1.04320987654,1.01513186338,,,0.857142857143,1.02523995734,1.02757793765,1.03607014747,1.03303730018,1.01097430407,0.977926078029,1.0,0.991834170854,1.72225093904,1.03867640739,1.00623330365,1.05494505495,1.71772538141,1.72125496611,1.72311948815,0.991509433962,1.00114503817,0.985911179173,1.72272272272,0.949494949495,1.74141977119,1.75869594871,1.721257414,0.97745773325,0.983631200935,1.01310741688,1.71774712315,1.71301297143,1.77278177458,1.69507155508,1.73645459694,1.72343963737,1.69948476255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61847575058,1.62074716478,1.6065816885,1.6055040655,1.58307210031,1.61714583062,1.58840169731,1.60610341904,1.58661780246,1.25010502731,1.26117413351,1.60104566234,1.59504982006,1.61553975864,1.63506243021,1.64272922636,1.65099754031,1.59697600361,1.58832704175,1.59279187817,1.27393373604,1.31261770245,1.23625651676,1.25783879066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.973636810218,0.97413509061,1.70176879203,0.937266417512,0.988812785388,0.919936161724,0.979311947931
BdM1015pool13,1.8745492599,1.87546789519,1.88383899432,1.87488729552,2.0,1.87330204043,1.87437075947,1.88371860802,1.87173571054,1.8693995007,1.01587301587,1.00256904303,0.987399770905,0.992618323925,0.666666666667,0.950495049505,1.12328767123,1.02201257862,,0.5,0.761904761905,0.975074404762,0.97719568567,1.0109800732,0.998211731044,0.981715514923,0.920643153527,0.965112781955,0.95974025974,1.7177369185,0.970779220779,0.984390243902,1.0,1.71453727255,1.71670616114,1.71490593343,0.959615384615,0.991187739464,0.974923754659,1.7210267499,0.916117905299,1.73719538888,1.73981621177,1.71700991609,0.954248366013,0.956960768085,1.00753851196,1.71124543053,1.71150533128,1.76678550208,1.69115065921,1.72678893852,1.7159995667,1.69431317581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61415970288,1.62584923973,1.60164815478,1.5993864503,1.59508196721,1.62255541069,1.56026490066,1.60100352504,1.58533944002,1.25213222074,1.25711476767,1.591824833,1.59365275377,1.61379836223,1.6324414022,1.63949044586,1.65790565777,1.58591267359,1.58673920435,1.59221269647,1.27802406586,1.30313014827,1.23844271976,1.25912042659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.940308191403,0.938533489227,1.70101059896,0.903482060109,0.95374653099,0.886603375527,0.96032672112
BdM1016pool13,1.86604920275,1.87089873123,1.87812848934,1.86929893395,1.87330204043,2.0,1.86975376333,1.87637424276,1.86299241724,1.86418347702,0.986225895317,0.969160479726,0.980310880829,0.9638723255,1.52941176471,0.930420711974,1.10126582278,0.974887556222,,,0.818181818182,0.980757293606,0.950226244344,0.985142457612,0.97875663855,0.960088691796,0.927637314734,0.953865030675,0.951321279555,1.71235335995,0.969756480754,1.00995475113,0.948453608247,1.71543781678,1.72198793573,1.71617061381,0.963011314186,0.961967213115,0.931244801774,1.72339824121,0.900038595137,1.7348597751,1.75185643564,1.71372226441,0.944617123481,0.931855726872,0.964064115822,1.71599547145,1.70632926904,1.76923076923,1.68778062861,1.73409061006,1.71457373272,1.69317632433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6126591547,1.61811023622,1.59958688032,1.5946779695,1.62154696133,1.6119175837,1.59709379128,1.59719046963,1.57876771767,1.24494790022,1.25235438518,1.59067499828,1.58704479262,1.60459843618,1.63089924983,1.62371712636,1.65951848441,1.58582626436,1.58253029569,1.58650188024,1.2800095839,1.29511239431,1.22318376068,1.25395811471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.933872959254,0.924753011233,1.69464377978,0.894034707158,0.9279178338,0.884502446982,0.927989130435
BdM1017pool13,1.87052884319,1.875,1.87652588747,1.86659376709,1.87437075947,1.86975376333,2.0,1.96695921528,1.87067073497,1.86606429712,1.12558139535,1.00729040097,1.12732095491,1.01916058394,1.71428571429,1.10612244898,1.10869565217,0.960477941176,,,0.857142857143,0.977105478332,0.981915606162,1.01490384615,1.00081499593,0.962017804154,0.995776135164,0.976056338028,0.971647509579,1.71703584374,0.997235023041,0.957654723127,0.947368421053,1.72739669985,1.73587096774,1.72248037174,0.958011049724,1.0214953271,0.983367983368,1.72938829787,0.941246526399,1.73889555822,1.78683719691,1.71151428058,0.994602929838,0.98590346006,1.00139762404,1.71998987,1.72470291682,1.76623376623,1.69673153016,1.73908958029,1.72694272654,1.69794582035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64110730034,1.61202749141,1.62186681631,1.61641922681,1.57943925234,1.63075060533,1.71844660194,1.60584371842,1.59827092922,1.28851042196,1.29516329062,1.59878355705,1.59634186897,1.61994960466,1.62456747405,1.67106102488,1.66403269755,1.60626262626,1.60048366094,1.60052562418,1.29519400353,1.36985569214,1.2808340205,1.30173124485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.940323955669,0.940635451505,1.70423191105,0.91547277937,0.96029082774,0.903560318009,0.966267682263
BdM1017pool27,1.88299653902,1.87571102015,1.88318391741,1.87344470332,1.88371860802,1.87637424276,1.96695921528,2.0,1.88227981257,1.87743619751,1.00609756098,1.02383790226,1.12464589235,1.06506024096,1.1,1.09121621622,1.15662650602,1.04294975689,,,1.09090909091,1.05954088953,1.00208623088,1.08852621167,1.05096153846,1.0203535083,1.02400960384,1.02167545401,1.02933780386,1.73303471445,1.06743737958,1.04347826087,1.19047619048,1.73507886435,1.72960798636,1.72609072522,1.02622576967,1.06946564885,1.04980544747,1.74327853741,0.985927152318,1.7517921147,1.7481870921,1.72900617385,1.00077639752,1.03430962343,1.02717726992,1.7397471477,1.72387859253,1.76820603908,1.71493857494,1.7360654423,1.7309463858,1.71113440374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64953964954,1.63086276781,1.62653486756,1.61900944747,1.66391184573,1.62383017576,1.647597254,1.6281193364,1.60921693518,1.31378816268,1.32004860267,1.62475158085,1.61608949854,1.63756978177,1.64260951781,1.65091166578,1.66216510564,1.62163100058,1.61510889046,1.61946431739,1.34334431312,1.38203592814,1.30116959064,1.32468571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.976763147167,0.993128536783,1.70644738075,0.964862965566,0.997552618698,0.964409122322,0.983959899749
BdM1018pool13,1.8649058079,1.87086934418,1.87651650247,1.86904935672,1.87173571054,1.86299241724,1.87067073497,1.88227981257,2.0,1.86608686059,1.03560830861,0.976477683957,0.984054669704,0.946538461538,0.911764705882,0.994614003591,0.98275862069,0.96251053075,,,0.857142857143,0.971782518926,0.976737338045,1.01364006515,0.993632707775,0.963298009822,0.960804538422,0.927521008403,0.933815028902,1.71626984127,0.999146757679,0.962608695652,0.847457627119,1.71723373181,1.7200444003,1.71924090318,0.972195589645,0.991654021244,0.936144578313,1.71624193,0.919638826185,1.73121346072,1.75258141382,1.71389356647,0.943486590038,0.951554828151,0.976322263223,1.71445530726,1.70574748464,1.76868537666,1.69165580183,1.72742998738,1.7170943107,1.69219250926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61072448251,1.6111564182,1.59662913634,1.59930738329,1.57424242424,1.60653247246,1.60578186597,1.60039700718,1.58267135478,1.25342309967,1.25637522769,1.59040167193,1.59304756926,1.60964180254,1.63198324022,1.63263148621,1.65064365927,1.59072774466,1.58624155941,1.58637559309,1.28257739381,1.29627885068,1.2345160094,1.26232181369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.920218579235,0.931179775281,1.69644122764,0.912786108919,0.929915639195,0.881539235412,0.946877083796
BdM1019pool13,1.86874344498,1.86364602824,1.87309782609,1.86765964732,1.8693995007,1.86418347702,1.86606429712,1.87743619751,1.86608686059,2.0,1.05693069307,1.04730473047,1.07866273353,1.02467443454,1.28787878788,1.01762820513,0.945054945055,1.05,,2.0,1.07142857143,1.03560559951,1.02510245902,1.07943603851,1.03242269589,1.02961175696,1.02436823105,1.03019323671,1.00724637681,1.71857006497,1.03964912281,0.982800982801,0.795180722892,1.70451848922,1.71917991542,1.71269139368,0.997568881686,1.03133074935,1.00532481363,1.71350450988,0.950710423739,1.72661484857,1.74107034012,1.71309076569,1.01407624633,0.986737400531,1.04378378378,1.70896768806,1.70307291351,1.77450154451,1.68294412823,1.72604783849,1.71178955911,1.68578044597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60783845143,1.6078009828,1.59978695407,1.59271490043,1.57182705718,1.59475252062,1.55916473318,1.59445857759,1.57408520623,1.24040241449,1.24816459712,1.58873110399,1.58359513582,1.60504493051,1.63412068471,1.62141898824,1.65133899412,1.58133148825,1.57481412639,1.58147176219,1.26436233611,1.28700779111,1.22198057126,1.25488363398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968275126633,0.978985900217,1.69371411012,0.940285590653,0.990060015004,0.91623259275,1.00490677134
