,BdM1012pool13,BdM1013pool13,BdM1013pool27,BdM1014pool13,BdM1015pool13,BdM1016pool13,BdM1017pool13,BdM1017pool27,BdM1018pool13,BdM1019pool13,BdM1020pool13,BdM1020pool27,BdM1021pool13,BdM1021pool27,BdM1022pool13,BdM1022pool27,BdM1023pool13,BdM1023pool27,BdM1024pool13,BdM1024pool18,BdM1025pool13,BdM1025pool27,BdM1026pool13,BdM1027pool13,BdM1028pool13,BdM1028pool27,BdM1029pool13,BdM1029pool27,BdM1030pool13,BdM1031pool13,BdM1032pool13,BdM1033pool13,BdM1033pool27,BdM1034pool13,BdM1035pool13,BdM1035pool27,BdM1036pool13,BdM1036pool27,BdM1037pool13,BdM1038pool13,BdM1039pool13,BdM1040pool13,BdM1040pool27,BdM1041pool13,BdM1042pool13,BdM1043pool13,BdM1043pool27,BdM1044pool13,BdM1045pool13,BdM1045pool27,BdM1046pool13,BdM1046pool27,BdM1047pool13,BdM1048pool13,BdM1050pool14,BdM1050pool24,BdM1051pool14,BdM1051pool21,BdM1052pool14,BdM1053pool14,BdM1053pool24,BdM1054pool14,BdM1054pool24,BdM1055pool14,BdM1056pool14,BdM1057pool14,BdM1057pool21,BdM1064pool14,BdM1064pool24,BdM1065pool14,BdM1065pool24,BdM1066pool14,BdM1066pool24,BdM1067pool14,BdM1067pool24,BdM1068pool14,BdM1068pool24,BdM1069pool14,BdM1069pool24,BdM1070pool14,BdM1071pool14,BdM1071pool24,BdM1072pool14,BdM1073pool14,BdM1074pool14,BdM1075pool14,BdM1075pool24,BdM1128pool08,BdM1129pool08,BdM1130pool08,BdM1131pool08,BdM1131pool28,BdM1133pool08,BdM1133pool28,BdM1135pool08,BdM1135pool28,BdM1136pool28,BdM1138pool28,BdM1139pool08,BdM1139pool28,BdM1140pool28,BdM1141pool28,BdM1142pool08,BdM1142pool28,BdM1143pool08,BdM1143pool28,BdM1144pool08,BdM1144pool28,BdM1146pool08,BdM1146pool28,BdM1147pool08,BdM1147pool28,BdM1148pool08,BdM1148pool28,BdM1149pool08,BdM1149pool28,BdM1150pool08,BdM1150pool28,BdM1151pool08,BdM1151pool28,BdM1152pool08,BdM1153pool08,BdM1154pool08,BdM1154pool28,BdM1155pool08,BdM1156pool08,BdM1158pool08,BdM1158pool28,BdM1159pool08,BdM1160pool08,BdM1161pool08,BdM1162pool08,BdM1162pool28,BdM1163pool08,BdM1211pool11,BdM1212pool11,BdM1213pool11,BdM1213pool24,BdM1214pool11,BdM1215pool11,BdM1216pool11,BdM1216pool24,BdM1217pool11,BdM1218pool11,BdM1219pool11,BdM1219pool24,BdM1220pool11,BdM1220pool21,BdM1221pool11,BdM1221pool21,BdM1222pool11,BdM1222pool24,BdM1223pool11,BdM1223pool24,BdM1224pool11,BdM1225pool11,BdM1226pool11,BdM1226pool21,BdM1227pool11,BdM1227pool24,BdM1228pool11,BdM1229pool11,BdM1229pool24,BdM1230pool11,BdM1230pool24,BdM1231pool05,BdM1231pool27,BdM1232pool05,BdM1232pool27,BdM1233pool05,BdM1233pool18,BdM1234pool05,BdM1235pool05,BdM1236pool05,BdM1237pool05,BdM1238pool05,BdM1239pool05,BdM1240pool05,BdM1241pool05,BdM1241pool27,BdM1242pool05,BdM1242pool27,BdM1243pool05,BdM1244pool05,BdM1245pool05,BdM1246pool05,BdM1246pool27,BdM1247pool05,BdM1247pool27,BdM1248pool12,BdM1248pool29,BdM1249pool12,BdM1249pool29,BdM1250pool12,BdM1250pool29,BdM1251pool12,BdM1252pool12,BdM1252pool29,BdM1253pool12,BdM1254pool12,BdM1254pool19,BdM1255pool12,BdM1255pool29,BdM1256pool12,BdM1256pool29,BdM1257pool12,BdM1258pool12,BdM1259pool12,BdM1260pool12,BdM1261pool12,BdM1262pool12,BdM1263pool12,BdM1264pool12,BdM1265pool12,BdM1265pool19,BdM1266pool12,BdM1266pool29,BdM1267pool12,BdM1268pool11,BdM1269pool11,BdM1269pool24,BdM1270pool11,BdM1272pool12,BdM1272pool29,BdM1273pool12,BdM1274pool12,BdM1275pool12,BdM1795pool34,BdM1796pool34,BdM1797pool34,BdM1798pool34,BdM1799pool34,BdM1800pool34,BdM1801pool34
BdM1012pool13,8445.0,5387.0,4187.0,5936.0,5925.0,6779.0,2382.0,2582.0,6154.0,6787.0,29.0,169.0,94.0,260.0,4.0,54.0,11.0,248.0,1.0,,3.0,301.0,342.0,504.0,296.0,393.0,196.0,349.0,327.0,3512.0,238.0,112.0,9.0,4363.0,2076.0,3562.0,212.0,274.0,326.0,3477.0,646.0,827.0,912.0,5174.0,301.0,617.0,335.0,3409.0,5298.0,393.0,6010.0,2495.0,4560.0,6215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2543.0,680.0,3192.0,4020.0,64.0,857.0,70.0,3589.0,5158.0,2190.0,1951.0,4384.0,4726.0,3452.0,1138.0,1254.0,852.0,4635.0,5131.0,4529.0,1141.0,453.0,2435.0,1916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.0,609.0,5450.0,729.0,449.0,750.0,432.0
BdM1013pool13,5387.0,9012.0,4874.0,6308.0,6272.0,7161.0,2485.0,2714.0,6537.0,7163.0,33.0,169.0,92.0,258.0,4.0,59.0,14.0,258.0,,,2.0,307.0,363.0,538.0,300.0,416.0,208.0,373.0,345.0,3731.0,249.0,115.0,7.0,4669.0,2216.0,3796.0,235.0,291.0,345.0,3656.0,683.0,871.0,953.0,5489.0,314.0,643.0,354.0,3561.0,5648.0,425.0,6404.0,2658.0,4822.0,6594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678.0,726.0,3427.0,4339.0,71.0,958.0,78.0,3885.0,5558.0,2268.0,2029.0,4697.0,5018.0,3715.0,1218.0,1346.0,894.0,4967.0,5506.0,4881.0,1162.0,459.0,2544.0,2004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.0,637.0,5903.0,771.0,474.0,788.0,467.0
BdM1013pool27,4187.0,4874.0,6479.0,4858.0,4806.0,5405.0,2058.0,2666.0,4997.0,5399.0,28.0,161.0,68.0,231.0,6.0,51.0,12.0,237.0,1.0,1.0,1.0,266.0,267.0,407.0,227.0,374.0,158.0,330.0,257.0,2911.0,180.0,96.0,10.0,3558.0,1785.0,3509.0,171.0,238.0,250.0,2899.0,486.0,674.0,911.0,4177.0,228.0,481.0,308.0,2767.0,4256.0,430.0,4771.0,2682.0,3729.0,4830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2338.0,706.0,2920.0,3900.0,64.0,825.0,77.0,3291.0,4286.0,1766.0,1632.0,3777.0,4006.0,3117.0,1215.0,1212.0,865.0,3994.0,4199.0,3854.0,975.0,436.0,1904.0,1729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.0,497.0,5068.0,557.0,413.0,557.0,391.0
BdM1014pool13,5936.0,6308.0,4858.0,10228.0,7047.0,7999.0,2722.0,2923.0,7306.0,8091.0,35.0,183.0,111.0,299.0,5.0,64.0,16.0,287.0,,,2.0,349.0,401.0,619.0,338.0,456.0,230.0,407.0,393.0,4105.0,289.0,132.0,10.0,5152.0,2420.0,4085.0,258.0,324.0,399.0,4105.0,764.0,938.0,1014.0,6139.0,369.0,733.0,362.0,3967.0,6299.0,437.0,7214.0,2852.0,5319.0,7418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2914.0,761.0,3755.0,4710.0,80.0,996.0,94.0,4273.0,6144.0,2595.0,2306.0,5143.0,5563.0,4049.0,1278.0,1453.0,936.0,5432.0,6056.0,5337.0,1302.0,507.0,2898.0,2258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.0,731.0,6487.0,892.0,536.0,903.0,514.0
BdM1015pool13,5925.0,6272.0,4806.0,7047.0,10172.0,7971.0,2685.0,2893.0,7275.0,8028.0,33.0,174.0,99.0,271.0,7.0,55.0,14.0,267.0,,1.0,2.0,324.0,388.0,592.0,326.0,436.0,221.0,384.0,374.0,4067.0,284.0,117.0,8.0,5127.0,2411.0,4093.0,243.0,308.0,352.0,4084.0,738.0,938.0,1000.0,6113.0,354.0,721.0,352.0,3901.0,6231.0,437.0,7177.0,2846.0,5293.0,7364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2914.0,775.0,3714.0,4667.0,81.0,1003.0,98.0,4259.0,6127.0,2600.0,2307.0,5129.0,5544.0,4041.0,1258.0,1419.0,933.0,5482.0,6063.0,5344.0,1301.0,504.0,2881.0,2251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721.0,703.0,6435.0,878.0,513.0,880.0,497.0
BdM1016pool13,6779.0,7161.0,5405.0,7999.0,7971.0,12300.0,2984.0,3256.0,8308.0,9305.0,39.0,198.0,107.0,329.0,3.0,66.0,15.0,316.0,,,3.0,376.0,444.0,690.0,379.0,527.0,262.0,464.0,430.0,4592.0,301.0,131.0,9.0,5806.0,2693.0,4689.0,272.0,358.0,432.0,4551.0,900.0,1020.0,1137.0,6960.0,403.0,853.0,430.0,4431.0,7204.0,462.0,8359.0,3108.0,6065.0,8663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3365.0,838.0,4303.0,5408.0,93.0,1120.0,102.0,4936.0,7258.0,3057.0,2678.0,6030.0,6517.0,4684.0,1385.0,1649.0,989.0,6426.0,7184.0,6263.0,1489.0,585.0,3437.0,2629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.0,864.0,7653.0,1061.0,623.0,1070.0,592.0
BdM1017pool13,2382.0,2485.0,2058.0,2722.0,2685.0,2984.0,3575.0,1419.0,2777.0,2986.0,21.0,95.0,46.0,128.0,2.0,26.0,9.0,130.0,,,2.0,141.0,175.0,242.0,144.0,198.0,105.0,164.0,162.0,1729.0,132.0,71.0,5.0,2072.0,1101.0,1743.0,107.0,133.0,169.0,1700.0,286.0,453.0,504.0,2386.0,148.0,274.0,163.0,1650.0,2403.0,252.0,2653.0,1308.0,2097.0,2733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113.0,375.0,1398.0,1797.0,32.0,436.0,42.0,1568.0,2173.0,928.0,850.0,1919.0,2034.0,1543.0,613.0,603.0,463.0,2000.0,2172.0,1932.0,524.0,220.0,1018.0,855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.0,276.0,2437.0,319.0,212.0,329.0,210.0
BdM1017pool27,2582.0,2714.0,2666.0,2923.0,2893.0,3256.0,1419.0,3863.0,3022.0,3253.0,18.0,103.0,43.0,154.0,2.0,30.0,8.0,153.0,,,1.0,171.0,168.0,248.0,132.0,228.0,96.0,205.0,148.0,1813.0,119.0,61.0,5.0,2184.0,1154.0,2433.0,105.0,165.0,152.0,1774.0,282.0,461.0,772.0,2560.0,151.0,286.0,194.0,1765.0,2596.0,300.0,2831.0,1686.0,2247.0,2936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336.0,448.0,1702.0,2326.0,46.0,568.0,54.0,1895.0,2514.0,1064.0,970.0,2210.0,2368.0,1823.0,829.0,739.0,587.0,2305.0,2454.0,2229.0,611.0,305.0,1128.0,1036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0,289.0,3005.0,329.0,241.0,330.0,237.0
BdM1018pool13,6154.0,6537.0,4997.0,7306.0,7275.0,8308.0,2777.0,3022.0,10694.0,8390.0,35.0,184.0,97.0,295.0,5.0,59.0,16.0,277.0,,,2.0,337.0,394.0,593.0,347.0,451.0,224.0,427.0,410.0,4281.0,272.0,129.0,7.0,5317.0,2446.0,4221.0,244.0,312.0,392.0,4185.0,768.0,972.0,1052.0,6332.0,350.0,729.0,366.0,4079.0,6522.0,440.0,7436.0,2905.0,5452.0,7703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020.0,793.0,3883.0,4852.0,85.0,1029.0,98.0,4444.0,6391.0,2627.0,2359.0,5340.0,5766.0,4187.0,1323.0,1496.0,939.0,5707.0,6319.0,5575.0,1326.0,504.0,2941.0,2277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.0,741.0,6741.0,883.0,540.0,913.0,519.0
BdM1019pool13,6787.0,7163.0,5399.0,8091.0,8028.0,9305.0,2986.0,3253.0,8390.0,12468.0,46.0,231.0,125.0,368.0,8.0,70.0,20.0,359.0,,1.0,4.0,425.0,498.0,772.0,424.0,587.0,285.0,518.0,495.0,4629.0,359.0,151.0,11.0,5894.0,2691.0,4726.0,318.0,399.0,488.0,4568.0,996.0,1041.0,1138.0,7087.0,437.0,920.0,469.0,4468.0,7290.0,466.0,8435.0,3119.0,6104.0,8782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3414.0,838.0,4285.0,5392.0,94.0,1140.0,113.0,4940.0,7219.0,3009.0,2641.0,6008.0,6476.0,4692.0,1377.0,1660.0,990.0,6402.0,7180.0,6235.0,1499.0,572.0,3386.0,2578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951.0,940.0,7616.0,1152.0,676.0,1175.0,651.0
