,BdM1012pool13,BdM1013pool13,BdM1013pool27,BdM1014pool13,BdM1015pool13,BdM1016pool13,BdM1017pool13,BdM1017pool27,BdM1018pool13,BdM1019pool13,BdM1020pool13,BdM1020pool27,BdM1021pool13,BdM1021pool27,BdM1022pool13,BdM1022pool27,BdM1023pool13,BdM1023pool27,BdM1024pool13,BdM1024pool18,BdM1025pool13,BdM1025pool27,BdM1026pool13,BdM1027pool13,BdM1028pool13,BdM1028pool27,BdM1029pool13,BdM1029pool27,BdM1030pool13,BdM1031pool13,BdM1032pool13,BdM1033pool13,BdM1033pool27,BdM1034pool13,BdM1035pool13,BdM1035pool27,BdM1036pool13,BdM1036pool27,BdM1037pool13,BdM1038pool13,BdM1039pool13,BdM1040pool13,BdM1040pool27,BdM1041pool13,BdM1042pool13,BdM1043pool13,BdM1043pool27,BdM1044pool13,BdM1045pool13,BdM1045pool27,BdM1046pool13,BdM1046pool27,BdM1047pool13,BdM1048pool13,BdM1050pool14,BdM1050pool24,BdM1051pool14,BdM1051pool21,BdM1052pool14,BdM1053pool14,BdM1053pool24,BdM1054pool14,BdM1054pool24,BdM1055pool14,BdM1056pool14,BdM1057pool14,BdM1057pool21,BdM1064pool14,BdM1064pool24,BdM1065pool14,BdM1065pool24,BdM1066pool14,BdM1066pool24,BdM1067pool14,BdM1067pool24,BdM1068pool14,BdM1068pool24,BdM1069pool14,BdM1069pool24,BdM1070pool14,BdM1071pool14,BdM1071pool24,BdM1072pool14,BdM1073pool14,BdM1074pool14,BdM1075pool14,BdM1075pool24,BdM1128pool08,BdM1129pool08,BdM1130pool08,BdM1131pool08,BdM1131pool28,BdM1133pool08,BdM1133pool28,BdM1135pool08,BdM1135pool28,BdM1136pool28,BdM1138pool28,BdM1139pool08,BdM1139pool28,BdM1140pool28,BdM1141pool28,BdM1142pool08,BdM1142pool28,BdM1143pool08,BdM1143pool28,BdM1144pool08,BdM1144pool28,BdM1146pool08,BdM1146pool28,BdM1147pool08,BdM1147pool28,BdM1148pool08,BdM1148pool28,BdM1149pool08,BdM1149pool28,BdM1150pool08,BdM1150pool28,BdM1151pool08,BdM1151pool28,BdM1152pool08,BdM1153pool08,BdM1154pool08,BdM1154pool28,BdM1155pool08,BdM1156pool08,BdM1158pool08,BdM1158pool28,BdM1159pool08,BdM1160pool08,BdM1161pool08,BdM1162pool08,BdM1162pool28,BdM1163pool08,BdM1211pool11,BdM1212pool11,BdM1213pool11,BdM1213pool24,BdM1214pool11,BdM1215pool11,BdM1216pool11,BdM1216pool24,BdM1217pool11,BdM1218pool11,BdM1219pool11,BdM1219pool24,BdM1220pool11,BdM1220pool21,BdM1221pool11,BdM1221pool21,BdM1222pool11,BdM1222pool24,BdM1223pool11,BdM1223pool24,BdM1224pool11,BdM1225pool11,BdM1226pool11,BdM1226pool21,BdM1227pool11,BdM1227pool24,BdM1228pool11,BdM1229pool11,BdM1229pool24,BdM1230pool11,BdM1230pool24,BdM1231pool05,BdM1231pool27,BdM1232pool05,BdM1232pool27,BdM1233pool05,BdM1233pool18,BdM1234pool05,BdM1235pool05,BdM1236pool05,BdM1237pool05,BdM1238pool05,BdM1239pool05,BdM1240pool05,BdM1241pool05,BdM1241pool27,BdM1242pool05,BdM1242pool27,BdM1243pool05,BdM1244pool05,BdM1245pool05,BdM1246pool05,BdM1246pool27,BdM1247pool05,BdM1247pool27,BdM1248pool12,BdM1248pool29,BdM1249pool12,BdM1249pool29,BdM1250pool12,BdM1250pool29,BdM1251pool12,BdM1252pool12,BdM1252pool29,BdM1253pool12,BdM1254pool12,BdM1254pool19,BdM1255pool12,BdM1255pool29,BdM1256pool12,BdM1256pool29,BdM1257pool12,BdM1258pool12,BdM1259pool12,BdM1260pool12,BdM1261pool12,BdM1262pool12,BdM1263pool12,BdM1264pool12,BdM1265pool12,BdM1265pool19,BdM1266pool12,BdM1266pool29,BdM1267pool12,BdM1268pool11,BdM1269pool11,BdM1269pool24,BdM1270pool11,BdM1272pool12,BdM1272pool29,BdM1273pool12,BdM1274pool12,BdM1275pool12,BdM1795pool34,BdM1796pool34,BdM1797pool34,BdM1798pool34,BdM1799pool34,BdM1800pool34,BdM1801pool34
BdM1012pool13,0.0,88.0,75.0,76.0,81.0,114.0,31.0,37.0,86.0,96.0,0.0,15.0,8.0,20.0,0.0,2.0,0.0,22.0,0.0,,1.0,26.0,19.0,30.0,8.0,27.0,16.0,22.0,13.0,98.0,15.0,7.0,0.0,105.0,45.0,100.0,14.0,21.0,15.0,73.0,43.0,18.0,33.0,131.0,13.0,46.0,28.0,67.0,133.0,7.0,157.0,65.0,102.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,32.0,88.0,145.0,3.0,39.0,2.0,119.0,168.0,113.0,87.0,131.0,157.0,99.0,30.0,45.0,20.0,146.0,169.0,154.0,48.0,26.0,117.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,34.0,149.0,39.0,27.0,48.0,25.0
BdM1013pool13,62.0,0.0,33.0,74.0,66.0,96.0,27.0,29.0,81.0,97.0,0.0,6.0,7.0,13.0,0.0,1.0,0.0,15.0,,,1.0,14.0,18.0,32.0,9.0,22.0,14.0,22.0,13.0,96.0,12.0,5.0,0.0,103.0,39.0,81.0,11.0,13.0,19.0,71.0,42.0,23.0,24.0,136.0,15.0,36.0,26.0,86.0,135.0,2.0,148.0,77.0,111.0,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,32.0,88.0,134.0,2.0,39.0,1.0,100.0,163.0,105.0,80.0,149.0,159.0,103.0,30.0,40.0,26.0,158.0,187.0,153.0,40.0,15.0,123.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,39.0,158.0,40.0,25.0,46.0,24.0
BdM1013pool27,42.0,20.0,0.0,56.0,39.0,52.0,16.0,23.0,47.0,66.0,0.0,6.0,7.0,10.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,11.0,13.0,25.0,7.0,19.0,10.0,18.0,11.0,68.0,10.0,6.0,0.0,74.0,38.0,65.0,3.0,10.0,9.0,43.0,27.0,17.0,21.0,98.0,9.0,23.0,14.0,59.0,89.0,3.0,106.0,58.0,74.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,22.0,69.0,101.0,0.0,27.0,2.0,75.0,118.0,73.0,53.0,91.0,106.0,79.0,30.0,29.0,17.0,105.0,125.0,87.0,26.0,15.0,71.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,28.0,106.0,26.0,17.0,31.0,19.0
BdM1014pool13,61.0,81.0,66.0,0.0,88.0,120.0,38.0,34.0,111.0,110.0,0.0,14.0,12.0,18.0,0.0,1.0,0.0,16.0,,,1.0,24.0,22.0,33.0,9.0,25.0,17.0,20.0,24.0,98.0,14.0,5.0,0.0,121.0,47.0,97.0,12.0,22.0,22.0,93.0,48.0,18.0,27.0,136.0,18.0,50.0,25.0,79.0,153.0,4.0,188.0,64.0,120.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,34.0,112.0,151.0,3.0,42.0,10.0,130.0,196.0,115.0,111.0,153.0,189.0,140.0,38.0,53.0,20.0,186.0,207.0,182.0,58.0,22.0,132.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,44.0,173.0,49.0,29.0,54.0,25.0
BdM1015pool13,74.0,73.0,63.0,75.0,0.0,115.0,24.0,37.0,89.0,116.0,0.0,8.0,4.0,21.0,1.0,1.0,0.0,26.0,,0.0,1.0,16.0,16.0,36.0,8.0,23.0,19.0,23.0,16.0,89.0,11.0,5.0,0.0,111.0,43.0,99.0,13.0,16.0,16.0,82.0,51.0,22.0,23.0,139.0,19.0,40.0,28.0,80.0,140.0,5.0,193.0,65.0,97.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,32.0,117.0,170.0,1.0,37.0,4.0,142.0,207.0,111.0,97.0,154.0,178.0,127.0,31.0,48.0,25.0,190.0,188.0,184.0,50.0,20.0,119.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,55.0,184.0,53.0,25.0,44.0,27.0
BdM1016pool13,48.0,58.0,36.0,81.0,87.0,0.0,26.0,33.0,83.0,89.0,0.0,4.0,7.0,17.0,0.0,1.0,0.0,17.0,,,1.0,12.0,18.0,30.0,7.0,25.0,9.0,24.0,12.0,85.0,15.0,6.0,0.0,103.0,52.0,106.0,16.0,15.0,16.0,70.0,48.0,29.0,19.0,144.0,18.0,47.0,24.0,78.0,139.0,4.0,157.0,59.0,109.0,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,49.0,116.0,144.0,8.0,43.0,0.0,139.0,199.0,114.0,96.0,153.0,172.0,128.0,36.0,43.0,25.0,184.0,202.0,178.0,47.0,23.0,122.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,41.0,174.0,47.0,27.0,45.0,26.0
BdM1017pool13,48.0,41.0,34.0,45.0,51.0,77.0,0.0,13.0,60.0,58.0,0.0,9.0,4.0,12.0,0.0,1.0,0.0,13.0,,,1.0,7.0,12.0,28.0,2.0,15.0,11.0,18.0,15.0,57.0,3.0,4.0,0.0,65.0,30.0,39.0,5.0,14.0,14.0,44.0,26.0,18.0,9.0,67.0,8.0,14.0,14.0,51.0,79.0,5.0,93.0,56.0,68.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,22.0,45.0,59.0,0.0,13.0,10.0,51.0,89.0,56.0,44.0,56.0,80.0,58.0,39.0,33.0,10.0,84.0,96.0,68.0,14.0,11.0,58.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,26.0,80.0,23.0,14.0,26.0,18.0
BdM1017pool27,44.0,36.0,38.0,40.0,38.0,52.0,8.0,0.0,39.0,47.0,0.0,3.0,5.0,9.0,0.0,0.0,0.0,14.0,,,1.0,9.0,8.0,18.0,4.0,12.0,8.0,16.0,9.0,48.0,4.0,4.0,0.0,57.0,33.0,55.0,1.0,9.0,7.0,42.0,19.0,17.0,21.0,75.0,8.0,15.0,13.0,48.0,71.0,4.0,90.0,54.0,54.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,22.0,50.0,82.0,0.0,21.0,0.0,63.0,87.0,45.0,33.0,75.0,92.0,62.0,30.0,21.0,21.0,86.0,87.0,76.0,17.0,13.0,41.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,22.0,82.0,17.0,13.0,21.0,16.0
BdM1018pool13,60.0,76.0,58.0,85.0,83.0,106.0,22.0,25.0,0.0,99.0,0.0,7.0,6.0,21.0,0.0,1.0,0.0,20.0,,,1.0,17.0,13.0,29.0,5.0,29.0,10.0,26.0,16.0,92.0,13.0,5.0,0.0,92.0,51.0,85.0,11.0,14.0,16.0,72.0,41.0,18.0,28.0,131.0,17.0,38.0,26.0,74.0,127.0,4.0,168.0,68.0,103.0,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,32.0,91.0,141.0,0.0,25.0,1.0,128.0,181.0,100.0,81.0,156.0,162.0,110.0,34.0,38.0,24.0,168.0,186.0,157.0,48.0,19.0,119.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,37.0,167.0,45.0,28.0,41.0,22.0
BdM1019pool13,47.0,53.0,49.0,69.0,60.0,81.0,30.0,19.0,70.0,0.0,0.0,15.0,10.0,21.0,0.0,1.0,0.0,25.0,,0.0,1.0,22.0,24.0,37.0,8.0,36.0,12.0,28.0,23.0,89.0,20.0,7.0,0.0,102.0,50.0,99.0,21.0,25.0,27.0,73.0,64.0,24.0,24.0,141.0,20.0,52.0,33.0,69.0,136.0,3.0,180.0,61.0,98.0,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,29.0,101.0,142.0,1.0,33.0,2.0,129.0,214.0,112.0,98.0,156.0,171.0,123.0,36.0,33.0,28.0,183.0,214.0,187.0,50.0,24.0,123.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,52.0,172.0,63.0,34.0,59.0,35.0
