,BdM1012pool13,BdM1013pool13,BdM1013pool27,BdM1014pool13,BdM1015pool13,BdM1016pool13,BdM1017pool13,BdM1017pool27,BdM1018pool13,BdM1019pool13,BdM1020pool13,BdM1020pool27,BdM1021pool13,BdM1021pool27,BdM1022pool13,BdM1022pool27,BdM1023pool13,BdM1023pool27,BdM1024pool13,BdM1024pool18,BdM1025pool13,BdM1025pool27,BdM1026pool13,BdM1027pool13,BdM1028pool13,BdM1028pool27,BdM1029pool13,BdM1029pool27,BdM1030pool13,BdM1031pool13,BdM1032pool13,BdM1033pool13,BdM1033pool27,BdM1034pool13,BdM1035pool13,BdM1035pool27,BdM1036pool13,BdM1036pool27,BdM1037pool13,BdM1038pool13,BdM1039pool13,BdM1040pool13,BdM1040pool27,BdM1041pool13,BdM1042pool13,BdM1043pool13,BdM1043pool27,BdM1044pool13,BdM1045pool13,BdM1045pool27,BdM1046pool13,BdM1046pool27,BdM1047pool13,BdM1048pool13,BdM1050pool14,BdM1050pool24,BdM1051pool14,BdM1051pool21,BdM1052pool14,BdM1053pool14,BdM1053pool24,BdM1054pool14,BdM1054pool24,BdM1055pool14,BdM1056pool14,BdM1057pool14,BdM1057pool21,BdM1064pool14,BdM1064pool24,BdM1065pool14,BdM1065pool24,BdM1066pool14,BdM1066pool24,BdM1067pool14,BdM1067pool24,BdM1068pool14,BdM1068pool24,BdM1069pool14,BdM1069pool24,BdM1070pool14,BdM1071pool14,BdM1071pool24,BdM1072pool14,BdM1073pool14,BdM1074pool14,BdM1075pool14,BdM1075pool24,BdM1128pool08,BdM1129pool08,BdM1130pool08,BdM1131pool08,BdM1131pool28,BdM1133pool08,BdM1133pool28,BdM1135pool08,BdM1135pool28,BdM1136pool28,BdM1138pool28,BdM1139pool08,BdM1139pool28,BdM1140pool28,BdM1141pool28,BdM1142pool08,BdM1142pool28,BdM1143pool08,BdM1143pool28,BdM1144pool08,BdM1144pool28,BdM1146pool08,BdM1146pool28,BdM1147pool08,BdM1147pool28,BdM1148pool08,BdM1148pool28,BdM1149pool08,BdM1149pool28,BdM1150pool08,BdM1150pool28,BdM1151pool08,BdM1151pool28,BdM1152pool08,BdM1153pool08,BdM1154pool08,BdM1154pool28,BdM1155pool08,BdM1156pool08,BdM1158pool08,BdM1158pool28,BdM1159pool08,BdM1160pool08,BdM1161pool08,BdM1162pool08,BdM1162pool28,BdM1163pool08,BdM1211pool11,BdM1212pool11,BdM1213pool11,BdM1213pool24,BdM1214pool11,BdM1215pool11,BdM1216pool11,BdM1216pool24,BdM1217pool11,BdM1218pool11,BdM1219pool11,BdM1219pool24,BdM1220pool11,BdM1220pool21,BdM1221pool11,BdM1221pool21,BdM1222pool11,BdM1222pool24,BdM1223pool11,BdM1223pool24,BdM1224pool11,BdM1225pool11,BdM1226pool11,BdM1226pool21,BdM1227pool11,BdM1227pool24,BdM1228pool11,BdM1229pool11,BdM1229pool24,BdM1230pool11,BdM1230pool24,BdM1231pool05,BdM1231pool27,BdM1232pool05,BdM1232pool27,BdM1233pool05,BdM1233pool18,BdM1234pool05,BdM1235pool05,BdM1236pool05,BdM1237pool05,BdM1238pool05,BdM1239pool05,BdM1240pool05,BdM1241pool05,BdM1241pool27,BdM1242pool05,BdM1242pool27,BdM1243pool05,BdM1244pool05,BdM1245pool05,BdM1246pool05,BdM1246pool27,BdM1247pool05,BdM1247pool27,BdM1248pool12,BdM1248pool29,BdM1249pool12,BdM1249pool29,BdM1250pool12,BdM1250pool29,BdM1251pool12,BdM1252pool12,BdM1252pool29,BdM1253pool12,BdM1254pool12,BdM1254pool19,BdM1255pool12,BdM1255pool29,BdM1256pool12,BdM1256pool29,BdM1257pool12,BdM1258pool12,BdM1259pool12,BdM1260pool12,BdM1261pool12,BdM1262pool12,BdM1263pool12,BdM1264pool12,BdM1265pool12,BdM1265pool19,BdM1266pool12,BdM1266pool29,BdM1267pool12,BdM1268pool11,BdM1269pool11,BdM1269pool24,BdM1270pool11,BdM1272pool12,BdM1272pool29,BdM1273pool12,BdM1274pool12,BdM1275pool12,BdM1795pool34,BdM1796pool34,BdM1797pool34,BdM1798pool34,BdM1799pool34,BdM1800pool34,BdM1801pool34
BdM1012pool13,2.0,1.99065643583,1.99092898179,1.9910422602,1.99117143912,1.99079127507,1.99064443515,1.99139202037,1.99057480238,1.99095800283,1.90583657588,1.9036368463,1.89777085331,1.90346130722,1.92261904762,1.89859212406,1.91176470588,1.90558576372,1.75609756098,,1.9022556391,1.9057387596,1.90424170849,1.91044578393,1.90842875915,1.90544541891,1.89898818608,1.90146670485,1.90491591203,1.97884003981,1.9,1.90321611061,1.88403990025,1.97836008952,1.97865979709,1.97859801584,1.9050706304,1.90717058223,1.9037102775,1.97916574694,1.89663758758,1.97962073392,1.98045903845,1.97882595681,1.90409693746,1.90268275117,1.90256631873,1.9789436003,1.97810061247,1.98255501119,1.97719470417,1.97893430276,1.97865806958,1.97781178003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96824373759,1.96851036058,1.96754397833,1.96755237538,1.96432318993,1.9689151303,1.97600855746,1.9681089882,1.96737475671,1.93255607654,1.93301821405,1.96766341089,1.9673683374,1.96835315396,1.97029087554,1.96988994683,1.97153572583,1.96724809532,1.96687417347,1.96713558946,1.93565543144,1.93860252567,1.93273242971,1.93340583567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90195542434,1.89910350746,1.9778113636,1.8965925656,1.90083193856,1.89366957551,1.90118394752
BdM1013pool13,1.99065643583,2.0,1.99862324608,1.991052873,1.99133270875,1.99114303526,1.99103992808,1.99089170163,1.99107130017,1.9906751196,1.90109140518,1.90258751903,1.90095923261,1.90690154029,1.89880952381,1.89835215701,1.86772908367,1.90759482905,,,1.86363636364,1.90457404841,1.90325158276,1.91082293651,1.9097127223,1.90502867109,1.89848766251,1.9016866335,1.90368950647,1.97874588699,1.90422485572,1.89985214391,1.8976,1.97859618656,1.97917721708,1.97798338839,1.90840344078,1.90711026616,1.90764136689,1.97891661828,1.896850216,1.97895940107,1.98058989249,1.97946497241,1.90040514356,1.90311794412,1.89963538065,1.97897728492,1.97837236261,1.97933517716,1.97760073129,1.97840164732,1.97862048643,1.97788098483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9692859383,1.96779070833,1.96800074996,1.96776925718,1.9673450071,1.96848114311,1.97175530449,1.96813532316,1.96742043717,1.930732223,1.93175358041,1.96770117647,1.96783670162,1.96840069619,1.96875141853,1.96961373673,1.97026930336,1.96762289886,1.9674810251,1.96764346074,1.93281663624,1.93623582546,1.93036882782,1.93233663847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90020987069,1.90223308714,1.97761833211,1.89688135982,1.90059326389,1.89460309438,1.90132231405
BdM1013pool27,1.99092898179,1.99862324608,2.0,1.99095513201,1.99160126549,1.99132112796,1.99097713524,1.99147907419,1.99114276009,1.99093730048,1.88861985472,1.90386081652,1.90431177446,1.9068767216,1.89147286822,1.89112119248,1.8717472119,1.90718252848,2.0,2.0,1.88372093023,1.90833646107,1.9050241749,1.91395819654,1.91107308726,1.90753213141,1.89936270047,1.90219850731,1.90700697664,1.97876209014,1.90659272951,1.89938422214,1.93150684932,1.97856470261,1.97863805221,1.97856892713,1.90360660014,1.91000046753,1.90459882583,1.97851815055,1.89796479018,1.97984496124,1.98142809091,1.97923317659,1.90213140399,1.90394681985,1.90655112901,1.97887519212,1.97835846343,1.97951114306,1.97770457301,1.97924359909,1.97918326693,1.97786073638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96809019862,1.9665012799,1.96736739091,1.96758165422,1.96354439212,1.96635646857,1.96341289124,1.96757565568,1.96686211569,1.93247556166,1.93311068637,1.96756385327,1.96721759285,1.96795535816,1.96974946209,1.96862428869,1.97006945422,1.96743920962,1.96679841066,1.96720245258,1.93391088827,1.94037444037,1.93153263048,1.93446843854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90421029182,1.900864192,1.97747338801,1.89905588973,1.90387871946,1.89846135425,1.90389869095
BdM1014pool13,1.9910422602,1.991052873,1.99095513201,2.0,1.99141934211,1.99118086523,1.99065194987,1.99080294968,1.99109025234,1.99108576349,1.91172680412,1.90795004569,1.91029867146,1.91012644229,1.89436619718,1.90130133514,1.89175977654,1.91269689189,,,1.86363636364,1.9131508932,1.90930694177,1.91417672108,1.91121693467,1.91156055529,1.90514982612,1.90880935068,1.9093220339,1.97848848226,1.93019191762,1.90718562874,1.90401785714,1.97835303528,1.9783145235,1.97848254361,1.90787262464,1.9102322231,1.90854854302,1.9785361396,1.90309494115,1.97939216832,1.98087960311,1.97935744355,1.90262082948,1.90900390304,1.90623576223,1.97828047828,1.97856764877,1.98070461256,1.97746366563,1.97845437954,1.97885244086,1.97802499496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96899992869,1.9679370585,1.9673789887,1.96767445219,1.96279199888,1.96740575023,1.97288230361,1.96787944423,1.96740394571,1.93131885749,1.93205582451,1.96739009054,1.96752023972,1.96867591914,1.96953105798,1.97021543423,1.97061801114,1.96758083613,1.96710955235,1.96710643663,1.93232903121,1.93575781577,1.93114187777,1.93172582222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9079561808,1.90687901899,1.977426811,1.90235587005,1.90915430845,1.90154454197,1.90605879081
BdM1015pool13,1.99117143912,1.99133270875,1.99160126549,1.99141934211,2.0,1.99141499967,1.99109670314,1.99153654114,1.99128070291,1.9911663442,1.89405331511,1.90034650924,1.89955686854,1.90448351105,1.84053156146,1.89378757515,1.89800796813,1.90906432749,,1.8,1.85227272727,1.90596627756,1.90402244007,1.90888485098,1.90465654571,1.90372441846,1.89550065281,1.90050024579,1.90440101447,1.97807234221,1.92248204188,1.90043993879,1.87517531557,1.97817105362,1.97823989807,1.97783522415,1.90036832413,1.90420229216,1.9048173437,1.97855731676,1.89597471974,1.9789833594,1.97926639998,1.97911274928,1.89926653445,1.90326542518,1.90454875012,1.97770057048,1.97837479386,1.98001171288,1.97713025764,1.97781199233,1.97840292437,1.97751792999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9688325033,1.96793378806,1.96711351428,1.96718797699,1.96591222744,1.96819764696,1.97030942586,1.96772387005,1.96737471065,1.93068558122,1.93086860846,1.96684131076,1.9676355861,1.96849995538,1.96948825677,1.96980965299,1.97148819406,1.96690775805,1.96706381826,1.96731015467,1.93182983086,1.93450564035,1.93048577182,1.93086340682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89943041872,1.89927726884,1.97741907642,1.89521495989,1.90228941685,1.89347261121,1.90043802798
BdM1016pool13,1.99079127507,1.99114303526,1.99132112796,1.99118086523,1.99141499967,2.0,1.99091585432,1.99112615674,1.99078816638,1.99101457847,1.89358010411,1.89812619935,1.89735030252,1.90009131802,1.96958174905,1.89099604222,1.89458054937,1.90397106843,,,1.9022556391,1.90326381525,1.90017717034,1.90705046107,1.90463549112,1.90169157566,1.89591266819,1.89827232377,1.9020982653,1.97788707728,1.92241481306,1.90600567059,1.87297633873,1.9785042569,1.97876738298,1.97815823581,1.90195836419,1.90105631602,1.90092011926,1.97882118122,1.89496185457,1.97904867944,1.98069572418,1.97902932002,1.89686593953,1.89908304611,1.89658554211,1.97841940582,1.97830354516,1.98046706069,1.97730010804,1.9785544504,1.97867842831,1.97782118408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96903213217,1.96767164026,1.96734091652,1.96722930363,1.96728358209,1.9673444057,1.97362960401,1.96757248184,1.96719171735,1.93061071997,1.93070969717,1.96730485847,1.96747380741,1.96828982304,1.96955885002,1.96919148154,1.97191200252,1.9671374702,1.9672271632,1.96717393468,1.93300336655,1.93488903705,1.92984639728,1.93108868996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9007699871,1.89788705241,1.97732333819,1.89373365153,1.89810624212,1.89367127974,1.89624466946
BdM1017pool13,1.99064443515,1.99103992808,1.99097713524,1.99065194987,1.99109670314,1.99091585432,2.0,1.99765161745,1.99095215804,1.99066902694,1.8982133189,1.904354952,1.92098943324,1.90762223941,1.97740112994,1.91511627907,1.8982630273,1.90447635135,,,1.86363636364,1.90284249767,1.90240143829,1.90626715462,1.906952034,1.90378479481,1.89925847458,1.90268388997,1.90799396682,1.97771236066,1.93057682491,1.89946591266,1.91051454139,1.97892972711,1.97961317823,1.97817897774,1.90075773521,1.91273545591,1.90424281984,1.9789578446,1.89735596351,1.97900224459,1.98253046251,1.97835102965,1.90224887556,1.9050589882,1.90383580081,1.97803703973,1.97913102821,1.98010434167,1.97704766046,1.97901181688,1.9788058876,1.97721306186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97186263589,1.96857079227,1.96876400328,1.96843817656,1.96854246767,1.96954416097,1.98545393747,1.96780760211,1.96782821793,1.93306469934,1.93326113619,1.96698004649,1.96770056094,1.9694403689,1.96993627044,1.97303609712,1.97212740466,1.96828332908,1.96779578841,1.96764834377,1.93273863373,1.94044853015,1.93370471723,1.93427910044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89987111326,1.89861566776,1.97728634141,1.89535888309,1.90383819574,1.89318426724,1.9006795609
BdM1017pool27,1.99139202037,1.99089170163,1.99147907419,1.99080294968,1.99153654114,1.99112615674,1.99765161745,2.0,1.99143771301,1.99120611535,1.89683544304,1.91079403115,1.9191522763,1.91517271535,1.95,1.89902402402,1.90264255911,1.91330837554,,,1.88372093023,1.91452044076,1.90425673872,1.9170156243,1.91641260163,1.91081529159,1.90697940503,1.90953902822,1.91273549359,1.9783042621,1.92424479574,1.91027067112,1.92444444444,1.97881422207,1.97874722499,1.97858923861,1.90958178931,1.91717061901,1.91061493411,1.97924442761,1.9035091174,1.98014242019,1.98036860107,1.97885231154,1.90561056106,1.9108398362,1.90933686392,1.97900993546,1.97825314356,1.98068812431,1.97757642993,1.97846697419,1.97857167313,1.97742151715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97110251261,1.96987667155,1.96889592097,1.96865770769,1.97028014616,1.96822642528,1.97681072128,1.9691947917,1.96818084749,1.93492688943,1.93595422031,1.96880834981,1.96834953166,1.96999507821,1.97051175369,1.97136010457,1.97186292473,1.96881242164,1.96840983855,1.96838263108,1.93819189874,1.94401041667,1.93417532263,1.93665919883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90328671059,1.90392255178,1.97718441475,1.90048305915,1.90511489993,1.89913166397,1.90480439581
BdM1018pool13,1.99057480238,1.99107130017,1.99114276009,1.99109025234,1.99128070291,1.99078816638,1.99095215804,1.99143771301,2.0,1.99100692108,1.89509360878,1.89676359654,1.89644764337,1.8962696459,1.91169451074,1.89505247376,1.87682672234,1.90144452003,,,1.86363636364,1.90188158802,1.90141004908,1.90948324179,1.90449080847,1.90152221949,1.90042498517,1.89355435661,1.89970910475,1.97810336335,1.92431037264,1.89621574598,1.89137380192,1.97843169211,1.97848999012,1.97815724809,1.90147964342,1.90463205482,1.89982415338,1.97813553819,1.8965547054,1.97878709445,1.98048021389,1.97890918861,1.89488898065,1.90270647915,1.89884840935,1.97812099534,1.9779790502,1.98023326265,1.97722268188,1.97796565969,1.97860823661,1.97742227554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96846985196,1.9676337619,1.96675126688,1.96731222554,1.96342098412,1.96678883985,1.97324295398,1.96778141097,1.96725855998,1.93079018614,1.93092638634,1.96680622195,1.96760710159,1.96831970992,1.96972979183,1.96988256367,1.97091883265,1.96735669553,1.96722650821,1.96702661388,1.93345298218,1.93394203347,1.93022836538,1.93188728181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89784795356,1.89771963622,1.97717742157,1.89640130862,1.89862704918,1.89202379507,1.89850042845
BdM1019pool13,1.99095800283,1.9906751196,1.99093730048,1.99108576349,1.9911663442,1.99101457847,1.99066902694,1.99120611535,1.99100692108,2.0,1.90863309353,1.91801959578,1.91829438437,1.91647100258,1.93168604651,1.90441291127,1.89644012945,1.9203101898,,2.0,1.92463768116,1.91961953075,1.9169865643,1.92633765805,1.91765036537,1.91973292692,1.9186606471,1.91651938871,1.91889225102,1.97842665653,1.93049418457,1.9100586574,1.89847715736,1.97780805846,1.97859308499,1.97787378956,1.91529717886,1.91854748907,1.91726459385,1.97816825008,1.90964116335,1.97861254102,1.97958261639,1.979005738,1.91658396189,1.91459870333,1.91833060179,1.97795511222,1.97812529768,1.98086865366,1.97703388982,1.97801446917,1.97849657698,1.97742308394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96844625191,1.96727361259,1.96723422374,1.96691655371,1.96345238095,1.96580097463,1.96951464099,1.96751140844,1.96687803959,1.93039925665,1.93039822786,1.96703851442,1.96720875555,1.96819972129,1.96992256594,1.96870739424,1.97112971616,1.96689847818,1.96654749083,1.9667304746,1.93171307394,1.93402953669,1.92991987671,1.93160398605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91295742336,1.91329526353,1.97725055205,1.90850247051,1.9146146162,1.90642668331,1.91631591978
